재무제표종류,종목코드,회사명,시장구분,업종,업종명,통화,항목명,당기,전기,전전기
재무상태표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         현금및예치금,"5,359,109,750,098","6,212,882,466,731","5,349,247,665,807"
재무상태표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         대출채권 및 수취채권,"110,857,873,717,642","106,279,112,216,461","98,684,337,144,258"
재무상태표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         자산총계,"145,783,633,894,264","136,932,606,929,118","128,272,118,394,248"
재무상태표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         당기법인세자산,0,"2,702,623,993",0
재무상태표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         이연법인세자산,0,"24,586,718,056",0
재무상태표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         파생상품자산,"133,688,513,071","168,678,910,992","33,904,880,372"
재무상태표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         상각후원가측정금융자산,"9,220,250,559,386","9,234,752,216,883","8,734,539,746,326"
재무상태표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         기타포괄손익-공정가치측정금융자산,"7,187,861,796,603","5,093,085,977,610","5,150,489,029,747"
재무상태표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         당기손익-공정가치측정금융자산,"7,223,889,039,672","4,954,902,871,036","5,640,558,180,009"
재무상태표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         무형자산,"267,778,596,844","281,573,401,914","293,034,872,256"
재무상태표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         투자부동산,"617,039,028,030","647,641,448,732","661,798,795,335"
재무상태표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         관계기업및공동기업투자,"1,558,015,223,769","1,106,662,323,930","1,116,386,167,630"
재무상태표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         기타자산,"1,904,654,047,315","1,521,056,146,111","1,428,832,616,949"
재무상태표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         유형자산,"1,291,368,616,453","1,210,905,203,015","1,160,271,053,568"
재무상태표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         순확정급여자산,"162,105,005,381","194,064,403,654","18,718,241,991"
재무상태표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            자본총계,"10,673,702,081,303","10,789,882,683,348","10,205,921,524,733"
재무상태표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            지배주주지분,"10,225,000,141,303","9,842,295,803,348","9,308,464,144,733"
재무상태표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,               기타자본구성요소,"-39,098,997,039","-160,374,366,142","-122,162,215,610"
재무상태표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,               신종자본증권,"727,635,718,500","827,392,476,500","827,392,476,500"
재무상태표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,               기타불입자본,"785,126,254,675","778,904,418,040","779,999,458,040"
재무상태표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,               자본금,"1,629,676,230,000","1,629,676,230,000","1,629,676,230,000"
재무상태표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,               이익잉여금,"7,121,660,935,167","6,766,697,044,950","6,193,558,195,803"
재무상태표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            비지배지분,"448,701,940,000","947,586,880,000","897,457,380,000"
재무상태표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         자본과부채총계,"145,783,633,894,264","136,932,606,929,118","128,272,118,394,248"
재무상태표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            사채,"13,035,410,243,817","12,145,456,968,500","13,442,859,475,901"
재무상태표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            차입부채,"8,815,875,801,992","7,716,088,507,310","7,641,218,005,256"
재무상태표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            당기법인세부채,"37,920,784,422","180,600,847,851","153,480,084,204"
재무상태표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            이연법인세부채,"45,507,945,394",0,"20,616,135,900"
재무상태표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            예수부채,"106,761,233,673,401","101,470,361,388,876","93,282,006,163,874"
재무상태표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            파생상품부채,"122,131,978,925","194,189,331,564","34,431,428,505"
재무상태표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            당기손익-공정가치측정금융부채,"1,108,861,986,299","850,662,211,665","341,286,260,995"
재무상태표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            부채총계,"135,109,931,812,961","126,142,724,245,770","118,066,196,869,515"
재무상태표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            기타부채,"4,987,755,803,476","3,462,533,043,038","3,042,797,113,451"
재무상태표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            충당부채,"191,745,931,727","122,410,535,290","107,502,201,429"
재무상태표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            순확정급여부채,"3,487,663,508","421,411,676",0
재무상태표,192520,경남은행,기타법인,641,은행 및 저축기관,KRW,         현금및예치금,"1,640,577,747,067","2,159,367,649,277","1,945,659,188,133"
재무상태표,192520,경남은행,기타법인,641,은행 및 저축기관,KRW,         대출채권 및 수취채권,"40,612,970,294,325","38,983,049,945,632","37,208,589,586,216"
재무상태표,192520,경남은행,기타법인,641,은행 및 저축기관,KRW,         자산총계,"50,933,013,978,699","48,857,968,473,375","46,619,898,662,273"
재무상태표,192520,경남은행,기타법인,641,은행 및 저축기관,KRW,         당기법인세자산,"692,890,200","1,117,645,150","880,342,410"
