재무제표종류,종목코드,회사명,시장구분,업종,업종명,통화,항목명,당기,전기,전전기,Unnamed: 15
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         기초자본,"1,629,676,230,000","1,629,676,230,000","1,629,676,230,000",
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,               연차배당,0,0,0,
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,               신종자본증권배당,0,0,0,
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,                  자기주식 소각,0,0,0,
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,                  자기주식의 취득,0,0,0,
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,               중간배당,0,0,0,
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,               신종자본증권발행,0,0,0,
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,               신종자본증권상환,0,0,0,
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,               자본조정의 변동,0,0,0,
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,                  확정급여제도의재측정요소,0,0,0,
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,               당기순이익(손실),0,0,0,
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         자본총계,"1,629,676,230,000","1,629,676,230,000","1,629,676,230,000",
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         기초자본,"624,370,391,977","530,983,324,143","460,630,087,280",
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,               연차배당,"-202,769,793,125","-181,681,734,640","-103,818,134,080",
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,               신종자본증권배당,"-25,677,863,013","-30,187,500,000","-31,395,000,000",
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,                  자기주식 소각,"-22,998,105,645",0,0,
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,                  자기주식의 취득,0,0,0,
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,               중간배당,"-32,208,843,800",0,0,
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,               신종자본증권발행,0,0,0,
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,               신종자본증권상환,0,0,0,
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,               자본조정의 변동,0,0,"-737,042,137",
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,                  확정급여제도의재측정요소,0,0,0,
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,               당기순이익(손실),"314,114,255,763","305,256,302,474","206,303,413,080",
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         자본총계,"654,830,042,157","624,370,391,977","530,983,324,143",
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         기초자본,"827,392,476,500","827,392,476,500","827,392,476,500",
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,               연차배당,0,0,0,
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,               신종자본증권배당,0,0,0,
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,                  자기주식 소각,0,0,0,
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,                  자기주식의 취득,0,0,0,
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,               중간배당,0,0,0,
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,               신종자본증권발행,"149,487,602,000",0,0,
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,               신종자본증권상환,"-249,244,360,000",0,0,
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,               자본조정의 변동,0,0,0,
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,                  확정급여제도의재측정요소,0,0,0,
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,               당기순이익(손실),0,0,0,
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         자본총계,"727,635,718,500","827,392,476,500","827,392,476,500",
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         기초자본,"2,270,038,313,795","2,270,038,313,795","2,269,301,271,658",
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,               연차배당,0,0,0,
자본변동표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,               신종자본증권배당,0,0,0,
