재무제표종류,종목코드,회사명,시장구분,업종,업종명,통화,항목명,당기,전기,전전기
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         현금및예치금,"4,713,787,143,153","4,144,081,975,745","4,023,375,974,339"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         상각후원가측정대출채권,"62,383,691,427,696","59,738,168,157,905","56,172,365,864,893"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         상각후원가측정유가증권,"4,354,862,225,646","4,202,524,133,608","6,555,557,850,332"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         자산총계,"93,359,783,776,425","89,983,920,399,637","85,905,990,881,914"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         당기법인세자산,"57,179,321,021","21,963,698,830",0
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         이연법인세자산,"123,842,437,690","161,284,339,306","72,723,554,925"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         파생상품자산,"88,904,891,578","270,760,725,543","68,606,953,559"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         기타포괄손익-공정가치측정금융자산,"7,356,552,239,817","7,203,483,316,204","5,928,307,826,468"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         당기손익-공정가치측정금융자산,"11,092,085,468,258","11,109,236,561,311","9,238,191,129,083"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         무형자산,"274,997,720,675","285,570,582,716","266,454,721,898"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         관계기업투자,"142,892,884,345","110,191,067,963","39,284,302,930"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         투자부동산,"158,446,008,228","157,866,438,171","145,723,427,219"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         기타자산,"1,675,267,582,232","1,635,320,735,118","2,560,484,154,030"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         유형자산,"813,539,620,630","837,817,689,908","826,710,820,503"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         확정급여자산,"116,817,572,215","100,862,684,675","8,204,301,735"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         재보험계약자산,"6,917,233,241","4,788,292,634",0
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            자본총계,"6,283,554,118,124","6,407,727,996,891","6,327,329,777,746"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            지배주주지분,"5,948,770,414,919","5,578,021,580,309","5,498,444,893,024"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,               자본조정,"-20,577,892,780","-9,980","-9,980"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,               자본잉여금,"1,562,451,185,572","1,562,451,185,572","1,562,451,185,572"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,               신종자본증권,"613,764,871,000","498,097,600,000","498,097,600,000"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,               기타포괄손익누계액,"-341,693,536,583","-359,717,846,948","-152,195,364,623"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,               자본금,"845,729,165,000","845,729,165,000","845,729,165,000"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,               이익잉여금,"3,289,096,622,710","3,031,461,486,665","2,744,362,317,055"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            비지배지분,"334,783,703,205","829,706,416,582","828,884,884,722"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         부채및자본총계,"93,359,783,776,425","89,983,920,399,637","85,905,990,881,914"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            사채,"8,242,523,074,905","7,488,892,832,829","7,025,330,823,618"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            차입부채,"12,034,131,749,610","13,249,996,884,017","9,898,819,635,469"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            당기법인세부채,"25,070,154,743","86,219,067,184","62,588,161,068"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            이연법인세부채,"4,287,644,788","9,579,959,860",0
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            예수부채,"57,288,479,208,590","53,640,451,180,991","50,936,609,990,400"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            파생상품부채,"139,128,330,556","307,432,649,711","98,198,533,573"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            당기손익-공정가치측정금융부채,"527,775,467,310","462,022,876,358","1,480,915,635,194"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            당기손익-공정가치지정금융부채,"706,511,683,622","899,977,338,848","715,908,202,357"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            보험계약부채,"5,363,737,755,315","5,032,862,645,782","5,574,572,103,520"
재무상태표,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            부채총계,"87,076,229,658,301","83,576,192,402,746","79,578,661,104,168"
