status,message,corp_code,접수번호,법인구분,고유번호,법인명,사업부문,성별,개정전 직원수 정규,개정전 직원 수 계약,개정전 직원 기타,정규직 수,정규직 단시간 근로자수,계약직수,계약직단시간 근로자수,합계,평균근속연수,연간급여총액,1인평균 금여액,비고,결산기준일
0,정상,1601286,20240221001396,E,1601286,미래에셋비전기업인수목적1호,-,남,-,-,,4,-,-,-,4,1,-,-,-,2023-12-31
0,정상,1601286,20240221001396,E,1601286,미래에셋비전기업인수목적1호,-,여,-,-,,-,-,-,-,-,-,-,-,-,2023-12-31
0,정상,1091382,20240408003721,K,1091382,세토피아,영업직,남,-,-,,6,-,-,-,6,9.8,"363,000,000","73,000,000",-,2023-12-31
0,정상,1091382,20240408003721,K,1091382,세토피아,현장직,남,-,-,,5,-,10,-,15,4,"584,000,000","55,000,000",-,2023-12-31
0,정상,1091382,20240408003721,K,1091382,세토피아,"개발직
(관리사무직+개발직)",남,-,-,,23,-,-,-,23,6,"1,921,000,000","86,000,000",-,2023-12-31
0,정상,1091382,20240408003721,K,1091382,세토피아,"개발직
(관리사무직+개발직)",여,-,-,,19,-,-,-,19,5.4,"976,000,000","59,000,000",-,2023-12-31
0,정상,585219,20240321002019,Y,585219,세원이앤씨,사무직,남,-,-,,132,0,9,0,141,7.3,"8,117,000,000","59,000,000",-,2023-12-31
0,정상,585219,20240321002019,Y,585219,세원이앤씨,사무직,여,-,-,,20,0,3,0,23,4.8,"894,000,000","43,000,000",-,2023-12-31
0,정상,585219,20240321002019,Y,585219,세원이앤씨,기술직,남,-,-,,60,0,11,0,71,16.1,"4,572,000,000","63,000,000",-,2023-12-31
0,정상,585219,20240321002019,Y,585219,세원이앤씨,기술직,여,-,-,,0,0,1,0,1,6.0,"30,000,000","29,000,000",-,2023-12-31
0,정상,1274310,20240319000863,K,1274310,이오플로우,관리직,남,-,-,,31,-,1,-,32,2년 8개월,"2,414,729,000","75,460,000",-,2023-12-31
0,정상,1274310,20240319000863,K,1274310,이오플로우,관리직,여,-,-,,32,-,-,-,32,1년 9개월,"1,647,918,000","51,497,000",-,2023-12-31
