,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,005930,KR7005930003,삼성전자,KOSPI,,53600,2,-700,-1.29,53700,53900,53500,5013597,269029953300,319980344680000,5969782550,STK
1,000660,KR7000660001,SK하이닉스,KOSPI,,217000,2,-8500,-3.77,221000,221500,215000,2168875,473451573000,157976513205000,728002365,STK
2,373220,KR7373220003,LG에너지솔루션,KOSPI,,356000,2,-4000,-1.11,356500,359500,353500,41286,14699813000,83304000000000,234000000,STK
3,207940,KR7207940008,삼성바이오로직스,KOSPI,,1057000,1,43000,4.24,1023000,1078000,1022000,79674,84324975000,75230918000000,71174000,STK
4,005380,KR7005380001,현대차,KOSPI,,206500,2,-2000,-0.96,208000,208500,205500,150545,31187721000,43244443441500,209416191,STK
5,000270,KR7000270009,기아,KOSPI,,101400,2,-1600,-1.55,102500,102900,101300,146274,14920578100,40324004884800,397672632,STK
6,068270,KR7068270008,셀트리온,KOSPI,,180100,2,-400,-0.22,180700,182400,179600,145408,26327648800,38553402584400,214066644,STK
7,005935,KR7005931001,삼성전자우,KOSPI,,43700,2,-500,-1.13,43800,44000,43600,331572,14492564450,35960148790000,822886700,STK
8,105560,KR7105560007,KB금융,KOSPI,,90600,1,1200,1.34,89800,90800,89500,255191,23080519400,35653675123800,393528423,STK
9,035420,KR7035420009,NAVER,KOSPI,,206500,1,2500,1.23,206000,207500,205500,134849,27841185000,32717242152000,158437008,STK
10,329180,KR7329180004,HD현대중공업,KOSPI,,301500,2,-12500,-3.98,318500,319000,299500,222144,68327805500,26765094474000,88773116,STK
11,055550,KR7055550008,신한지주,KOSPI,,51300,1,1300,2.6,50400,51300,50000,498692,25419731300,25826745172500,503445325,STK
12,012330,KR7012330007,현대모비스,KOSPI,,252500,2,-500,-0.2,253500,257500,251500,50475,12862359000,23481261235000,92995094,STK
13,005490,KR7005490008,POSCO홀딩스,KOSPI,,257500,2,-6500,-2.46,262500,263000,257000,63886,16539259500,21275777077500,82624377,STK
14,028260,KR7028260008,삼성물산,KOSPI,,119000,2,-3600,-2.94,123600,123900,118100,181466,21713690800,21156308733000,177784107,STK
15,138040,KR7138040001,메리츠금융지주,KOSPI,,109600,2,-400,-0.36,110900,110900,109400,33090,3640097600,20902924494400,190720114,STK
16,096770,KR7096770003,SK이노베이션,KOSPI,,126600,2,-1300,-1.02,128800,128800,126100,40112,5095437500,19121002641600,151034776,STK
17,196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,기술성장기업부,343000,1,1000,0.29,345500,351500,342000,201510,69805663000,18288358004000,53318828,KSQ
18,012450,KR7012450003,한화에어로스페이스,KOSPI,,385500,2,-3500,-0.9,390500,394000,384000,40689,15824053500,17571537565500,45581161,STK
19,086790,KR7086790003,하나금융지주,KOSPI,,59900,1,1200,2.04,59000,60000,58900,466592,27849328300,17205728712000,287240880,STK
20,032830,KR7032830002,삼성생명,KOSPI,,85800,1,600,0.7,84500,86900,84500,61416,5260280800,17160000000000,200000000,STK
21,051910,KR7051910008,LG화학,KOSPI,,240500,2,-5500,-2.24,244500,244500,239500,49091,11853668000,16977458491500,70592343,STK
22,011200,KR7011200003,HMM,KOSPI,,19050,2,-120,-0.63,19050,19340,18970,835732,16002567780,16783802398800,881039496,STK
23,000810,KR7000810002,삼성화재,KOSPI,,345500,1,1000,0.29,347000,350500,345000,20107,7000851000,16368006183500,47374837,STK
24,042660,KR7042660001,한화오션,KOSPI,,52700,2,-200,-0.38,53700,54600,52300,2870561,153155386400,16147985863800,306413394,STK
25,259960,KR7259960003,크래프톤,KOSPI,,336500,2,-500,-0.15,339000,340500,336500,26620,9017630500,16120595801000,47906674,STK
26,009540,KR7009540006,HD한국조선해양,KOSPI,,227000,2,-14000,-5.81,241000,241000,226500,270948,62783037500,16065497332000,70773116,STK
27,006400,KR7006400006,삼성SDI,KOSPI,,233500,2,-6000,-2.51,238000,238500,232500,80794,18978968000,16056517755000,68764530,STK
28,035720,KR7035720002,카카오,KOSPI,,36050,2,-250,-0.69,36450,36500,36000,324544,11739013400,15994019317850,443662117,STK
