000,정상,00527491,20240320001465,K,00527491,하이드로리튬,관리사무직,남,-,-,-,22,-,22,12.8,"2,028,000,000","92,000,000",-,2023-12-31
000,정상,00961507,20240320001180,K,00961507,케일럼,사무직,남,-,-,-,24,-,24,3.3,"1,329,000,000","55,000,000",-,2023-12-31
000,정상,00111847,20240315000516,Y,00111847,대원강업,-,남,-,-,-,657,-,685,19.1,"63,300,000,000","91,000,000",-,2023-12-31
000,정상,00688996,20240326000894,Y,00688996,KB금융,-,남,-,-,-,116,-,116,         4년8개월  (16년 10개월),"23,990,000,000","204,000,000",-,2023-12-31
000,정상,00125080,20240321001157,Y,00125080,AK홀딩스,지주사업,남,-,-,-,19,-,20,3.1,"2,017,000,000","101,000,000",-,2023-12-31
000,정상,01168143,20240422000549,E,01168143,케이만금세기차륜집단유한공사,강소금세기,남,-,-,-,120,-,120,7.1,"1,247,972,319","10,399,747",-,2023-12-31
000,정상,00156150,20240731000687,Y,00156150,하이트론씨스템즈,"시큐리티
정보통신",남,-,-,-,41,-,41,7.10,"2,479,000,000","5,000,000",-,2023-12-31
000,정상,00254045,20240326000240,E,00254045,우리은행,금융업,남,-,-,-,"5,607",-,"6,008",16.6 ,"745,730,000,000","124,000,000",-,2023-12-31
000,정상,00262266,20240322000853,K,00262266,삼현,미등기임원,남,-,-,-,12,-,12,10년 9개월,"1,907,600,000","146,739,000",-,2023-12-31
000,정상,00117267,20240430000184,Y,00117267,동양생명,관리부문,남,-,-,-,239,1,284,11.8 ,"35,152,000,000","124,000,000",-,2023-12-31
000,정상,00135111,20240320001315,Y,00135111,수산중공업,유공압,남,-,-,-,58,-,62,11년 0개월,"2,962,000,000","48,000,000",-,2023-12-31
000,정상,00141529,20240318000813,Y,00141529,오뚜기,음식료품,남,-,-,-,"1,137",-,"1,150",9.0,"67,503,000,000","59,000,000",-,2023-12-31
000,정상,00596260,20240320001919,K,00596260,투비소프트,관리/사무/영업,남,-,-,-,31,-,37,5.7,"2,989,437,000","80,796,000",-,2023-12-31
000,정상,00161125,20240320000500,Y,00161125,한온시스템,-,남,-,-,-,"1,909",-,"2,135",18.79,"225,072,909,000","105,421,000",-,2023-12-31
000,정상,00406329,20240320000835,K,00406329,루멘스,LED,남,-,-,-,77,0,77,9.0,"4,798,000,000","62,000,000",-,2023-12-31
000,정상,00135795,20240313000830,Y,00135795,신도리코,공통,남,-,-,-,217,-,221,     18.1 ,"17,000,735,434","76,926,405",-,2023-12-31
000,정상,00260745,20240320000856,K,00260745,SCI평가정보,채권추심,남,-,-,-,2,-,4,04년 09월 08일,"137,000,000","69,000,000",-,2023-12-31
000,정상,00129013,20240319000639,Y,00129013,CJ씨푸드,전 부문,남,-,-,-,173,-,177,8.2,"10,666,000,000","42,000,000",-,2023-12-31
