corp_code,접수번호,법인구분,법인명,사업부문,성별,정규직 수,계약직수,합계,평균근속연수,1인평균 금여액
225742,20240329000411,K,LS마린솔루션,사무직,남,19,-,19,15.3,"109,000,000"
225742,20240329000411,K,LS마린솔루션,사무직,여,3,1,4,10.0,"68,000,000"
225742,20240329000411,K,LS마린솔루션,생산직,남,33,4,37,12.3,"111,000,000"
225742,20240329000411,K,LS마린솔루션,생산직,여,1,1,2,14.3,"70,000,000"
390860,20240408003770,K,대산F&B,외식사업부,남,5,-,5,1.64,"95,529,000"
390860,20240408003770,K,대산F&B,외식사업부,여,2,-,2,1.00,"35,507,000"
390860,20240408003770,K,대산F&B,포크사업부,남,28,-,28,1.92,"58,027,000"
390860,20240408003770,K,대산F&B,포크사업부,여,12,-,12,1.65,"38,246,000"
535746,20240322000009,K,컴투스홀딩스,게임사업,남,96,5,101,4년7개월,"82,000,000"
535746,20240322000009,K,컴투스홀딩스,게임사업,여,49,2,51,3년9개월,"67,000,000"
651901,20240321001310,Y,에어부산,항공운송,남,588,54,642,7,"74,000,000"
651901,20240321001310,Y,에어부산,항공운송,여,555,74,629,7,"27,000,000"
138792,20240325000904,Y,아시아나항공,일반직 등,남,"2,365",30,"2,395",18.7,"75,892,000"
138792,20240325000904,Y,아시아나항공,일반직 등,여,"4,252",1,"4,253",15.7,"50,445,000"
138792,20240325000904,Y,아시아나항공,운항직,남,"1,332",63,"1,395",12.6,"149,473,000"
138792,20240325000904,Y,아시아나항공,운항직,여,2,0,2,27.4,"197,446,000"
141389,20240312001002,K,영풍정밀,영업/영업지원,남,55,-,55,11년 2월,"103,000,000"
141389,20240312001002,K,영풍정밀,영업/영업지원,여,12,-,12,8년 1월,"60,000,000"
141389,20240312001002,K,영풍정밀,사무/관리직,남,25,1,26,9년 8월,"82,000,000"
141389,20240312001002,K,영풍정밀,사무/관리직,여,4,-,4,7년6월,"41,000,000"
141389,20240312001002,K,영풍정밀,연구/기술직,남,85,-,85,9년 1월,"73,000,000"
141389,20240312001002,K,영풍정밀,연구/기술직,여,2,-,2,4년 2월,"60,000,000"
141389,20240312001002,K,영풍정밀,생산직,남,61,-,61,7년 9월,"57,000,000"
180865,20240729000292,K,디에이치엑스컴퍼니,관리직,남,10,-,10,20개월,"84,750,000"
180865,20240729000292,K,디에이치엑스컴퍼니,관리직,여,7,-,7,11개월,"48,285,000"
402989,20250117000415,E,코스온,화장품,남,18,-,18,4.8,"50,774,000"
402989,20250117000415,E,코스온,화장품,여,2,-,2,2.5,"43,073,000"
548519,20240321001783,N,큐러블,-,남,18,-,18,1.2,"41,220,000"
548519,20240321001783,N,큐러블,-,여,8,-,8,0.8,"32,070,000"
1267602,20240314001085,E,제이시스메디칼,의료기기,남,158,6,164,3.0,"198,000,000"
1267602,20240314001085,E,제이시스메디칼,의료기기,여,82,1,83,2.6,"141,000,000"
391197,20240320001307,K,하이퍼코퍼레이션,IT유통,남,9,-,9,4년 6개월,"27,634,000"
391197,20240320001307,K,하이퍼코퍼레이션,IT유통,여,2,-,2,0년 9개월,"16,397,000"
391197,20240320001307,K,하이퍼코퍼레이션,신약사업,남,5,-,5,1년 8개월,"57,718,000"
391197,20240320001307,K,하이퍼코퍼레이션,신약사업,여,10,-,10,5년 6개월,"32,707,000"
391197,20240320001307,K,하이퍼코퍼레이션,F&B사업,남,16,-,16,1년 4개월,"34,629,000"
391197,20240320001307,K,하이퍼코퍼레이션,F&B사업,여,16,-,16,1년 9개월,"34,007,000"
391197,20240320001307,K,하이퍼코퍼레이션,본사,남,5,-,5,1년 1개월,"42,181,000"
391197,20240320001307,K,하이퍼코퍼레이션,본사,여,4,-,4,2년 7개월,"19,598,000"
1325979,20240306000569,Y,세아제강,-,남,603,118,721,16,"101,000,000"
1325979,20240306000569,Y,세아제강,-,여,27,14,41,7,"61,000,000"
111111,20240320001622,Y,대양금속,전체,남,192,-,192,8.5,"64,104,000"
111111,20240320001622,Y,대양금속,전체,여,28,-,28,4.8,"46,053,000"
359395,20240516002214,K,헬릭스미스,관리부문,남,16,3,19,2.9,"54,571,000"
359395,20240516002214,K,헬릭스미스,관리부문,여,9,0,9,1.0,"27,834,000"
359395,20240516002214,K,헬릭스미스,연구부문,남,19,1,20,3.5,"46,095,000"
359395,20240516002214,K,헬릭스미스,연구부문,여,27,0,27,4.5,"39,920,000"
1068658,20240327000001,K,선샤인푸드,외식사업본부,남,105,-,105,2년7개월,"41,000,000"
1068658,20240327000001,K,선샤인푸드,외식사업본부,여,136,-,136,3년3개월,"35,000,000"
1068658,20240327000001,K,선샤인푸드,가맹사업본부,남,13,-,13,3년7개월,"45,000,000"
1068658,20240327000001,K,선샤인푸드,가맹사업본부,여,10,-,10,2년4개월,"34,000,000"
1068658,20240327000001,K,선샤인푸드,유통사업본부,남,34,-,34,6년7개월,"38,000,000"
1068658,20240327000001,K,선샤인푸드,유통사업본부,여,9,-,9,2년6개월,"36,000,000"
1068658,20240327000001,K,선샤인푸드,본사,남,6,-,6,5년11개월,"59,000,000"
1068658,20240327000001,K,선샤인푸드,본사,여,13,-,13,6년10개월,"30,000,000"
1405451,20240328001196,K,알체라,사무,남,28,0,28,00년11개월,"61,000,000"
1405451,20240328001196,K,알체라,사무,여,18,2,20,01년06개월,"41,000,000"
1405451,20240328001196,K,알체라,"연구,개발",남,65,25,90,01년03개월,"41,000,000"
1405451,20240328001196,K,알체라,"연구,개발",여,20,42,62,01년05개월,"24,000,000"
125974,20240821000569,Y,삼부토건,토목,남,145,4,149,15년 10개월,"84,109,668"
125974,20240821000569,Y,삼부토건,토목,여,1,2,3,2년,"37,187,203"
125974,20240821000569,Y,삼부토건,건축,남,135,40,175,8년 4개월,"71,330,078"
125974,20240821000569,Y,삼부토건,건축,여,10,3,13,4년 4개월,"40,637,026"
125974,20240821000569,Y,삼부토건,기타,남,76,-,76,18년 3개월,"81,369,555"
125974,20240821000569,Y,삼부토건,기타,여,10,11,21,7년 3개월,"46,996,183"
442631,20240321001263,N,태양기계,자동차부품,남,38,10,48,4.7,"43,383,000"
442631,20240321001263,N,태양기계,자동차부품,여,11,-,11,6.9,"44,638,000"
1228515,20240321000692,K,지오릿에너지,전체,남,37,-,37,2.8,"47,000,000"
1228515,20240321000692,K,지오릿에너지,전체,여,9,-,9,4.4,"39,000,000"
397289,20240320001935,K,오텍,특장차,남,86,-,86,7.72,"60,828,000"
397289,20240320001935,K,오텍,특장차,여,9,-,9,3.67,"32,436,000"
110583,20240403003408,K,DH오토웨어,"자동화사업부
전장사업부",남,211,-,211,7.0,"39,000,000"
110583,20240403003408,K,DH오토웨어,"자동화사업부
전장사업부",여,40,-,40,5.5,"34,000,000"
450931,20240329000954,E,우양에이치씨,-,남,265,-,265,8.5년,"60,932,000"
450931,20240329000954,E,우양에이치씨,-,여,21,-,21,9.5년,"38,257,000"
259545,20240321000792,K,엠에스오토텍,차체,남,329,37,366,16년 12개월,"78,000,000"
259545,20240321000792,K,엠에스오토텍,차체,여,7,2,9,7년 10개월,"50,000,000"
1208821,20240318000329,N,팡스카이, 임원 ,남,6,-,6,4,"109,566,261"
1208821,20240318000329,N,팡스카이,임원 ,여,-,-,-,-,0
1208821,20240318000329,N,팡스카이, 경영지원 ,남,2,-,2,1,"30,207,571"
1208821,20240318000329,N,팡스카이, 경영지원 ,여,2,-,2,-,"43,953,420"
1208821,20240318000329,N,팡스카이, 사업본부 ,남,8,-,8,3,"41,446,284"
1208821,20240318000329,N,팡스카이, 사업본부 ,여,4,-,4,1,"30,198,559"
1037542,20230616000294,K,NPX,전사업부,남,37,-,37,5.9,"61,000,000"
1037542,20230616000294,K,NPX,전사업부,여,6,2,8,4.2,"30,000,000"
138321,20240516000067,E,신한투자증권,리테일,남,362,73,435,15.36,"169,000,000"
138321,20240516000067,E,신한투자증권,리테일,여,377,12,389,15.64,"128,000,000"
138321,20240516000067,E,신한투자증권,본사영업,남,230,159,389,7.8,"184,000,000"
138321,20240516000067,E,신한투자증권,본사영업,여,56,29,85,6.79,"136,000,000"
138321,20240516000067,E,신한투자증권,관리지원,남,622,160,782,11.98,"123,000,000"
138321,20240516000067,E,신한투자증권,관리지원,여,437,141,578,10.18,"85,000,000"
155124,20240319000675,Y,평화홀딩스,지주회사,남,67,-,67,12년,"66,000,000"
155124,20240319000675,Y,평화홀딩스,지주회사,여,16,-,16,8년 3개월,"47,000,000"
486705,20240320001850,Y,아주스틸,철강사업,남,573,21,594,4.02,"41,000,000"
486705,20240320001850,Y,아주스틸,철강사업,여,46,16,62,3.02,"33,000,000"
407814,20240329003619,K,CG인바이츠,연구직,남,17,-,17,2.47,"69,000,000"
407814,20240329003619,K,CG인바이츠,연구직,여,37,-,37,2.57,"45,000,000"
407814,20240329003619,K,CG인바이츠,관리직,남,17,-,17,1.63,"57,000,000"
407814,20240329003619,K,CG인바이츠,관리직,여,6,-,6,1.40,"31,000,000"
527491,20240320001465,K,하이드로리튬,관리사무직,남,22,-,22,12.8,"92,000,000"
527491,20240320001465,K,하이드로리튬,,여,3,-,3,12.3,"88,000,000"
527491,20240320001465,K,하이드로리튬,기술연구직,남,3,-,3,15.8,"95,000,000"
527491,20240320001465,K,하이드로리튬,,여,1,-,1,7.1,"63,000,000"
527491,20240320001465,K,하이드로리튬,생산직,남,15,-,15,10.1,"56,000,000"
527491,20240320001465,K,하이드로리튬,,여,2,-,2,7.5,"34,000,000"
961507,20240320001180,K,케일럼,사무직,남,24,-,24,3.3,"55,000,000"
961507,20240320001180,K,케일럼,사무직,여,7,-,7,1.3,"25,000,000"
961507,20240320001180,K,케일럼,생산직,남,20,-,20,3.6,"51,000,000"
961507,20240320001180,K,케일럼,생산직,여,4,-,4,1.0,"37,000,000"
111847,20240315000516,Y,대원강업,-,남,657,28,685,19.1,"91,000,000"
111847,20240315000516,Y,대원강업,-,여,18,1,19,13.9,"71,000,000"
688996,20240326000894,Y,KB금융,-,남,116,-,116,4년8개월  (16년 10개월),"204,000,000"
688996,20240326000894,Y,KB금융,-,여,36,-,36,4년 1개월    (14년 2개월),"148,000,000"
125080,20240321001157,Y,AK홀딩스,지주사업,남,19,1,20,3.1,"101,000,000"
125080,20240321001157,Y,AK홀딩스,지주사업,여,3,-,3,2.9,"70,000,000"
1168143,20240422000549,E,케이만금세기차륜집단유한공사,강소금세기,남,120,-,120,7.1,"10,399,747"
1168143,20240422000549,E,케이만금세기차륜집단유한공사,강소금세기,여,50,-,50,7.7,"10,399,747"
1168143,20240422000549,E,케이만금세기차륜집단유한공사,금세기차륜,남,74,-,74,6.3,"8,849,586"
1168143,20240422000549,E,케이만금세기차륜집단유한공사,금세기차륜,여,47,-,47,7.8,"8,849,586"
156150,20240731000687,Y,엑시큐어하이트론,"시큐리티
정보통신",남,41,-,41,7.10,"5,000,000"
156150,20240731000687,Y,엑시큐어하이트론,"시큐리티
정보통신",여,13,-,13,5.04,"2,000,000"
254045,20240326000240,E,우리은행,금융업,남,"5,607",401,"6,008",16.6,"124,000,000"
254045,20240326000240,E,우리은행,금융업,여,"7,506",209,"7,715",17.3,"103,000,000"
262266,20240322000853,K,삼현,미등기임원,남,12,-,12,10년 9개월,"146,739,000"
262266,20240322000853,K,삼현,미등기임원,여,-,-,-,-,-
262266,20240322000853,K,삼현,연구직,남,61,-,61,2년 1개월,"40,313,000"
262266,20240322000853,K,삼현,연구직,여,5,-,5,3년 1개월,"32,178,000"
262266,20240322000853,K,삼현,사무직,남,61,-,61,4년 1개월,"42,896,000"
262266,20240322000853,K,삼현,사무직,여,5,-,5,10년 9개월,"32,330,000"
262266,20240322000853,K,삼현,생산직,남,25,27,52,1년 9개월,"22,055,000"
262266,20240322000853,K,삼현,생산직,여,9,13,22,2년 4개월,"21,113,000"
117267,20240430000184,Y,동양생명,관리부문,남,239,44,284,11.8,"124,000,000"
117267,20240430000184,Y,동양생명,관리부문,여,256,15,272,13.2,"83,000,000"
117267,20240430000184,Y,동양생명,영업부문,남,87,0,87,16.2,"168,000,000"
117267,20240430000184,Y,동양생명,영업부문,여,194,0,194,20.7,"102,000,000"
117267,20240430000184,Y,동양생명,자산운용부문,남,43,5,48,10.2,"141,000,000"
117267,20240430000184,Y,동양생명,자산운용부문,여,28,1,29,9.2,"77,000,000"
135111,20240320001315,Y,수산중공업,유공압,남,58,4,62,11년 0개월,"48,000,000"
135111,20240320001315,Y,수산중공업,유공압,여,9,-,9,8년 4개월,"46,000,000"
135111,20240320001315,Y,수산중공업,크레인,남,46,1,47,8년 9개월,"46,000,000"
135111,20240320001315,Y,수산중공업,크레인,여,3,-,3,9년 11개월,"49,000,000"
135111,20240320001315,Y,수산중공업,공통,남,27,2,29,4년 10개월,"43,000,000"
135111,20240320001315,Y,수산중공업,공통,여,7,1,8,5년 8개월,"42,000,000"
141529,20240318000813,Y,오뚜기,음식료품,남,"1,137",13,"1,150",9.0,"59,000,000"
141529,20240318000813,Y,오뚜기,음식료품,여,"2,106",44,"2,150",9.7,"41,000,000"
596260,20240320001919,K,투비소프트,관리/사무/영업,남,31,-,37,5.7,"80,796,000"
596260,20240320001919,K,투비소프트,관리/사무/영업,여,25,-,26,3.7,"70,579,000"
596260,20240320001919,K,투비소프트,연구/기술지원,남,96,-,96,10.1,"59,194,000"
596260,20240320001919,K,투비소프트,연구/기술지원,여,45,-,45,6.7,"47,477,000"
161125,20240320000500,Y,한온시스템,-,남,"1,909",226,"2,135",18.79,"105,421,000"
161125,20240320000500,Y,한온시스템,-,여,81,19,100,6.78,"68,222,000"
406329,20240320000835,K,루멘스,LED,남,77,0,77,9.0,"62,000,000"
406329,20240320000835,K,루멘스,LED,여,17,0,17,4.9,"44,000,000"
135795,20240313000830,Y,신도리코,공통,남,217,4,221,18.1,"76,926,405"
135795,20240313000830,Y,신도리코,공통,여,59,1,60,22.4,"56,304,296"
260745,20240320000856,K,SCI평가정보,채권추심,남,2,2,4,04년 09월 08일,"69,000,000"
260745,20240320000856,K,SCI평가정보,채권추심,여,2,1,3,05년 12월 30일,"35,000,000"
260745,20240320000856,K,SCI평가정보,신용조사,남,2,-,2,15년 03월 18일,"50,000,000"
260745,20240320000856,K,SCI평가정보,신용조사,여,2,1,3,07년 09월 06일,"40,000,000"
260745,20240320000856,K,SCI평가정보,신용조회,남,42,25,67,03년 10월 21일,"44,000,000"
260745,20240320000856,K,SCI평가정보,신용조회,여,45,18,63,03년 10월 28일,"38,000,000"
260745,20240320000856,K,SCI평가정보,기타,남,18,4,22,04년 06월 13일,"59,000,000"
260745,20240320000856,K,SCI평가정보,기타,여,16,4,20,05년 02월 28일,"33,000,000"
129013,20240319000639,Y,CJ씨푸드,전 부문,남,173,4,177,8.2,"42,000,000"
129013,20240319000639,Y,CJ씨푸드,전 부문,여,162,16,178,8.5,"28,000,000"
164478,20240329003141,Y,현대건설,토목,남,643,267,910,17.5,"121,000,000"
164478,20240329003141,Y,현대건설,지원,여,161,284,445,12.2,"67,000,000"
164478,20240329003141,Y,현대건설,토목,여,10,9,19,13.9,"76,000,000"
164478,20240329003141,Y,현대건설,건축,남,373,169,542,15.0,"114,000,000"
164478,20240329003141,Y,현대건설,건축,여,5,48,53,5.6,"66,000,000"
164478,20240329003141,Y,현대건설,주택,남,785,711,"1,496",13.1,"100,000,000"
164478,20240329003141,Y,현대건설,주택,여,41,190,231,14.5,"65,000,000"
164478,20240329003141,Y,현대건설,플랜트/NewEnergy,남,"1,072",289,"1,361",12.6,"129,000,000"
164478,20240329003141,Y,현대건설,플랜트/NewEnergy,여,44,34,78,8.3,"82,000,000"
164478,20240329003141,Y,현대건설,지원,남,"1,412",657,"2,069",12.0,"98,000,000"
103626,20240312000826,Y,한솔피엔에스,지류유통,남,65,-,65,6.3,"54,000,000"
103626,20240312000826,Y,한솔피엔에스,지류유통,여,19,1,20,7.5,"37,000,000"
103626,20240312000826,Y,한솔피엔에스,IT서비스,남,145,4,149,5.9,"65,000,000"
103626,20240312000826,Y,한솔피엔에스,IT서비스,여,54,-,54,4.9,"52,000,000"
122551,20240319000327,Y,백산,합성피혁,남,208,-,208,10.2,"52,040,000"
122551,20240319000327,Y,백산,합성피혁,여,28,-,28,9.3,"37,001,000"
116426,20240320001102,K,이렘,강관사업부,남,83,6,89,6년 10개월,"70,062,000"
116426,20240320001102,K,이렘,강관사업부,여,11,0,11,4년 2개월,"40,917,000"
140946,20240312000456,Y,한솔로지스틱스,물류사업부,남,177,13,191,8년 3개월,"62,000,000"
140946,20240312000456,Y,한솔로지스틱스,물류사업부,여,60,13,76,7년 4개월,"48,000,000"
139205,20241031000341,K,안국약품,제약,남,265,5,270,5.09,"58,199,000"
139205,20241031000341,K,안국약품,제약,여,107,12,119,4.20,"44,088,000"
861720,20240322000194,E,이즈미디어,CCM 사업부문,남,17,-,17,5,"62,000,000"
861720,20240322000194,E,이즈미디어,CCM 사업부문,여,7,-,7,3,"45,000,000"
141307,20240814004220,Y,영풍,전사,남,643,16,659,10년 2개월,"63,263,000"
141307,20240814004220,Y,영풍,전사,여,46,1,47,4년 4개월,"37,495,000"
276083,20240320000260,K,피노,통신장비,남,19,-,19,10.15,"55,866,000"
276083,20240320000260,K,피노,통신장비,여,3,-,3,3.04,"28,997,000"
276083,20240320000260,K,피노,게임사업,여,1,-,1,2.00,"34,850,000"
1187148,20240315000511,K,케어랩스,CRM,남,12,0,12,2.28,"50,000,000"
1187148,20240315000511,K,케어랩스,CRM,여,7,0,7,3.14,"51,000,000"
1187148,20240315000511,K,케어랩스,디지털마케팅,남,15,0,15,5.76,"138,000,000"
1187148,20240315000511,K,케어랩스,디지털마케팅,여,25,0,25,3.94,"40,000,000"
1187148,20240315000511,K,케어랩스,기타,남,10,0,10,3.68,"82,000,000"
1187148,20240315000511,K,케어랩스,기타,여,8,0,8,1.73,"44,000,000"
1046391,20240320001986,K,싸이토젠,-,남,28,-,28,2년2개월,"53,462,000"
1046391,20240320001986,K,싸이토젠,-,여,21,-,21,1년8개월,"43,526,000"
815095,20240320001306,K,우리이앤엘,"LED
건강기능식품",남,64,-,64,8.0,"6,400,000"
815095,20240320001306,K,우리이앤엘,"LED
건강기능식품",여,31,-,31,1.6,"3,172,000"
1060744,20240312000971,Y,한솔제지,한솔제지,남,"1,462",25,"1,487",16.6,"77,000,000"
1060744,20240312000971,Y,한솔제지,한솔제지,여,133,11,144,9.2,"56,000,000"
543204,20240711000218,K,엔에스이엔엠,관리,남,11,1,12,2,"28,450,000"
543204,20240711000218,K,엔에스이엔엠,관리,여,2,0,2,2.2,"23,267,000"
543204,20240711000218,K,엔에스이엔엠,엔터,남,39,7,46,1.2,"16,952,000"
543204,20240711000218,K,엔에스이엔엠,엔터,여,25,3,28,1,"26,762,000"
534598,20240313000991,Y,한컴라이프케어,제조부문,남,137,13,150,6년 1개월,"56,000,000"
534598,20240313000991,Y,한컴라이프케어,제조부문,여,64,8,72,6년 11개월,"42,000,000"
349811,20240321002025,K,오션인더블유,유리사업부문,남,4,-,4,4.48,"59,000,000"
349811,20240321002025,K,오션인더블유,유리사업부문,여,2,-,2,3.04,"31,000,000"
349811,20240321002025,K,오션인더블유,부동산개발사업부문,남,1,-,1,7.33,"26,000,000"
349811,20240321002025,K,오션인더블유,경영관리부문,남,5,-,5,3.45,"65,000,000"
349811,20240321002025,K,오션인더블유,경영관리부문,여,2,-,2,1.58,"39,000,000"
134176,20240318000681,Y,세우글로벌,-,남,20,-,20,8년 10개월,"56,690,000"
134176,20240318000681,Y,세우글로벌,-,여,1,-,2,5개월,"13,727,000"
141477,20240321000794,Y,영흥,한국내철강사업,남,223,14,237,11.6,"56,000,000"
141477,20240321000794,Y,영흥,한국내철강사업,여,19,8,27,6,"39,000,000"
141477,20240321000794,Y,영흥,한국내물류사업,남,8,0,8,12.7,"58,000,000"
141477,20240321000794,Y,영흥,한국내물류사업,여,3,0,3,8.7,"40,000,000"
141477,20240321000794,Y,영흥,한국내포장재사업,남,14,1,15,19,"59,000,000"
141477,20240321000794,Y,영흥,한국내포장재사업,여,0,0,0,0,0
141477,20240321000794,Y,영흥,한국내자동차부품사업,남,118,2,120,12.14,"54,000,000"
141477,20240321000794,Y,영흥,한국내자동차부품사업,여,4,0,4,4.05,"38,000,000"
130587,20240321001873,K,서울전자통신,전자부품사업,남,45,1,46,7.8년,"64,000,000"
130587,20240321001873,K,서울전자통신,전자부품사업,여,12,-,12,7.7년,"32,000,000"
140131,20240318000710,Y,키다리스튜디오,기술연구개발,남,16,-,16,2.7,"63,404,000"
140131,20240318000710,Y,키다리스튜디오,기술연구개발,여,24,3,27,2.3,"51,065,000"
140131,20240318000710,Y,키다리스튜디오,영업/마케팅,남,48,2,50,1.9,"48,488,000"
140131,20240318000710,Y,키다리스튜디오,영업/마케팅,여,163,26,189,2.0,"37,586,000"
140131,20240318000710,Y,키다리스튜디오,관리사무직,남,19,3,22,1.8,"56,713,000"
140131,20240318000710,Y,키다리스튜디오,관리사무직,여,24,9,33,1.2,"36,736,000"
111999,20240314001399,Y,대원제약,제약부문 등,남,804,30,834,6.1,"92,000,000"
111999,20240314001399,Y,대원제약,제약부문 등,여,371,17,388,5.7,"51,000,000"
1159853,20240320000849,K,휴온스,전사,남,580,24,604,3.9,"67,312,000"
1159853,20240320000849,K,휴온스,전사,여,345,20,365,3.3,"48,736,000"
201432,20240318000945,K,비츠로시스,국내,남,38,29,67,2년 5개월,"3,525,000"
201432,20240318000945,K,비츠로시스,국내,여,4,3,7,3년,"2,625,000"
1407158,20240321000951,K,모코엠시스,솔루션,남,95,1,96,10년,"69,257,000"
1407158,20240321000951,K,모코엠시스,솔루션,여,30,1,31,6년 3개월,"51,260,000"
1013694,20240321002055,K,인카금융서비스,전사,남,106,17,123,05년 00개월,"74,091,000"
1013694,20240321002055,K,인카금융서비스,전사,여,211,15,226,05년 09개월,"43,716,000"
1353848,20240320001279,N,이노벡스,제조,남,20,-,20,1.8,"51,526,000"
1353848,20240320001279,N,이노벡스,제조,여,8,-,8,1.89,"30,360,000"
1353848,20240320001279,N,이노벡스,연구소,남,26,-,26,1.97,"36,350,000"
1353848,20240320001279,N,이노벡스,연구소,여,2,-,2,1.37,"11,817,000"
1353848,20240320001279,N,이노벡스,광고,남,1,-,1,4.5,"164,057,000"
371485,20240318000920,K,켐트로닉스,전자,남,191,14,205,5년 8개월,"48,282,000"
371485,20240318000920,K,켐트로닉스,전자,여,28,2,30,3년 7개월,"32,860,000"
371485,20240318000920,K,켐트로닉스,화학,남,224,2,226,5년 6개월,"38,914,000"
371485,20240318000920,K,켐트로닉스,화학,여,24,2,26,4년 6개월,"30,770,000"
1412725,20240318000856,Y,두산퓨얼셀,발전용 연료전지,남,401,16,417,38개월,"77,000,000"
1412725,20240318000856,Y,두산퓨얼셀,발전용 연료전지,여,43,6,49,33개월,"73,000,000"
256502,20240318000615,K,에이텍,디스플레이,남,44,2,46,7.8,"52,000,000"
256502,20240318000615,K,에이텍,디스플레이,여,6,-,6,4.2,"31,000,000"
256502,20240318000615,K,에이텍,기타,남,43,4,47,7.3,"43,000,000"
256502,20240318000615,K,에이텍,기타,여,12,4,16,5.1,"25,000,000"
1234507,20240321001696,K,매일유업,관리직,남,566,10,576,11.2,"82,574,000"
1234507,20240321001696,K,매일유업,관리직,여,386,5,391,8.7,"69,671,000"
1234507,20240321001696,K,매일유업,생산직,남,959,39,998,14.9,"73,067,000"
1234507,20240321001696,K,매일유업,생산직,여,66,9,75,10.8,"53,798,000"
1310773,20240321000028,K,엔시스,이차전지장비,남,105,0,105,4.69,"56,987,000"
1310773,20240321000028,K,엔시스,이차전지장비,여,38,0,38,1.80,"45,521,000"
185505,20240321001881,K,제일바이오,동물약품,남,18,6,24,6.8,"53,908,000"
185505,20240321001881,K,제일바이오,동물약품,남,13,2,15,8.3,"41,735,000"
1462739,20240321001902,K,비아이매트릭스,경영및 전략 기획실,남,7,-,8,6년 6개월,"115,000,000"
1462739,20240321001902,K,비아이매트릭스,파트너 사업본부,여,8,-,8,2년 2개월,"44,000,000"
1462739,20240321001902,K,비아이매트릭스,경영및 전략 기획실,여,4,-,5,1년 5개월,"35,000,000"
1462739,20240321001902,K,비아이매트릭스,AUD 사업부문,남,69,-,69,5년 1개월,"81,000,000"
1462739,20240321001902,K,비아이매트릭스,AUD 사업부문,여,14,1,15,4년 2개월,"58,000,000"
1462739,20240321001902,K,비아이매트릭스,기술연구소,남,22,-,22,5년 2개월,"73,000,000"
1462739,20240321001902,K,비아이매트릭스,기술연구소,여,9,-,9,3년 9개월,"43,000,000"
1462739,20240321001902,K,비아이매트릭스,전략사업본부,남,24,-,24,5년,"67,000,000"
1462739,20240321001902,K,비아이매트릭스,전략사업본부,여,9,-,9,5년 3개월,"52,000,000"
1462739,20240321001902,K,비아이매트릭스,파트너 사업본부,남,15,-,15,3년 4개월,"72,000,000"
158325,20240319000797,Y,NICE평가정보,신용조회,남,362,106,468,7.74,"100,000,000"
158325,20240319000797,Y,NICE평가정보,신용조회,여,147,152,299,5.27,"55,000,000"
1038693,20240320001616,K,드림시큐리티,관리,남,33,-,33,4년 3개월,"57,620,000"
