corp_code,접수번호,법인구분,법인명,사업부문,성별,정규직 수,계약직수,합계,평균근속연수,1인평균 금여액
1601286,20240221001396,E,미래에셋비전기업인수목적1호,-,남,4,-,4,1,-
1601286,20240221001396,E,미래에셋비전기업인수목적1호,-,여,-,-,-,-,-
1091382,20240408003721,K,세토피아,영업직,남,6,-,6,9.8,"73,000,000"
1091382,20240408003721,K,세토피아,현장직,남,5,10,15,4,"55,000,000"
1091382,20240408003721,K,세토피아,"개발직
(관리사무직+개발직)",남,23,-,23,6,"86,000,000"
1091382,20240408003721,K,세토피아,"개발직
(관리사무직+개발직)",여,19,-,19,5.4,"59,000,000"
585219,20240321002019,Y,세원이앤씨,사무직,남,132,9,141,7.3,"59,000,000"
585219,20240321002019,Y,세원이앤씨,사무직,여,20,3,23,4.8,"43,000,000"
585219,20240321002019,Y,세원이앤씨,기술직,남,60,11,71,16.1,"63,000,000"
585219,20240321002019,Y,세원이앤씨,기술직,여,0,1,1,6.0,"29,000,000"
1274310,20240319000863,K,이오플로우,관리직,남,31,1,32,2년 8개월,"75,460,000"
1274310,20240319000863,K,이오플로우,관리직,여,32,-,32,1년 9개월,"51,497,000"
1274310,20240319000863,K,이오플로우,마케팅,남,6,-,6,2년 7개월,"131,287,000"
1274310,20240319000863,K,이오플로우,마케팅,여,2,-,2,2년 10개월,"50,760,000"
1274310,20240319000863,K,이오플로우,생산,남,23,-,23,2년 1개월,"65,484,000"
1274310,20240319000863,K,이오플로우,생산,여,2,-,2,2년,"47,045,000"
1274310,20240319000863,K,이오플로우,연구,남,35,-,35,3년 2개월,"88,452,000"
1274310,20240319000863,K,이오플로우,연구,여,8,-,8,2년 2개월,"46,454,000"
161408,20240314000449,E,케이비캐피탈,금융업,남,353,34,387,10,"124,000,000"
161408,20240314000449,E,케이비캐피탈,금융업,여,177,98,275,9,"79,000,000"
876166,20240315000853,K,KBG,정밀화학,남,49,-,49,3년5개월,"45,827,000"
876166,20240315000853,K,KBG,정밀화학,여,17,-,17,3년10개월,"41,794,000"
1381984,20240514000754,K,스카이월드와이드,사무,남,14,-,14,2년 3개월,"55,118,000"
1381984,20240514000754,K,스카이월드와이드,사무,여,6,-,6,1년 2개월,"33,844,000"
1381984,20240514000754,K,스카이월드와이드,"영업
 마케팅",남,23,-,23,5개월,"59,531,000"
1381984,20240514000754,K,스카이월드와이드,"영업
 마케팅",여,5,-,5,4개월,"33,846,000"
1381984,20240514000754,K,스카이월드와이드,"연구
 개발",남,22,-,22,1년 8개월,"50,958,000"
1381984,20240514000754,K,스카이월드와이드,"연구
 개발",여,8,-,8,1년 4개월,"25,009,000"
