corp_code,접수번호,법인구분,법인명,성명,성별,출생년월,직위,담당업무,재직기간,출생연도,age,age_group
00876166,20240315000853,,KBG,이상진,남,1963년 09월,"전무
이사","연구
총괄","9년
10개월",1963.0,62,60
00876166,20240315000853,,KBG,부태균,남,1966년 01월,"상무
이사","영업
총괄","3년
10개월",1966.0,59,50
00876166,20240315000853,,KBG,송영상,남,1967년 02월,이사,"연구
개발",1개월,1967.0,58,50
01381984,20240514000754,,스카이월드와이드,강철순,남,1977년 12월,대표이사,경영총괄,9년 6개월,1977.0,48,40
01381984,20240514000754,,스카이월드와이드,도윤석,남,1969년 03월,상무,영업,5개월,1969.0,56,50
01381984,20240514000754,,스카이월드와이드,고찬영,남,1972년 12월,상무,영업,5개월,1972.0,53,50
01381984,20240514000754,,스카이월드와이드,장세훈,남,1972년 05월,상무,영업,3개월,1972.0,53,50
01381984,20240514000754,,스카이월드와이드,김기두,남,1968년 11월,상무,영업,1개월,1968.0,57,50
01381984,20240514000754,,스카이월드와이드,임상욱,남,1979년 09월,이사,연구개발,2년 1개월,1979.0,46,40
01381984,20240514000754,,스카이월드와이드,김영우,남,1969년 07월,이사,기술지원,5년 2개월,1969.0,56,50
01381984,20240514000754,,스카이월드와이드,오상민,남,1976년 02월,이사,글로벌,2년 2개월,1976.0,49,40
01381984,20240514000754,,스카이월드와이드,김웅,남,1971년 10월,이사,영업,10개월,1971.0,54,50
01381984,20240514000754,,스카이월드와이드,정봉기,남,1981년 03월,이사,영업,10개월,1981.0,44,40
01381984,20240514000754,,스카이월드와이드,정지원,남,1970년 03월,이사,영업,6개월,1970.0,55,50
01381984,20240514000754,,스카이월드와이드,김은갑,남,1964년 08월,부사장,영업총괄,4년 1개월,1964.0,61,60
01381984,20240514000754,,스카이월드와이드,김청용,남,1978년 08월,이사,경영지원,11개월,1978.0,47,40
01381984,20240514000754,,스카이월드와이드,박민경,여,1972년 05월,이사,컨설팅,10개월,1972.0,53,50
01381984,20240514000754,,스카이월드와이드,황장현,남,1973년 05월,부사장,연구개발,2년 3개월,1973.0,52,50
01381984,20240514000754,,스카이월드와이드,조판제,남,1968년 10월,감사,감사,3년 9개월,1968.0,57,50
01381984,20240514000754,,스카이월드와이드,이기연,남,1958년 04월,사외이사,자문,1년 9개월,1958.0,67,60
01381984,20240514000754,,스카이월드와이드,고광수,남,1968년 11월,사외이사,자문,9개월,1968.0,57,50
01381984,20240514000754,,스카이월드와이드,정은택,남,1975년 11월,전무,영업,1년 2개월,1975.0,50,50
01381984,20240514000754,,스카이월드와이드,조동현,남,1969년 01월,전무,영업,10개월,1969.0,56,50
01381984,20240514000754,,스카이월드와이드,진형주,남,1978년 12월,상무,재무총괄,4년,1978.0,47,40
00225742,20240329000411,,LS마린솔루션,이승용,남,1964년 05월,사장,대표이사,"2022. 3. 24. ~ 현재
(임기만료일: 2023. 12. 31.)",1964.0,61,60
00225742,20240329000411,,LS마린솔루션,김진용,남,1971년 12월,상무,"경영기획
부문장","2023. 1. 17. ~ 현재
(임기만료일: 2024년
정기 주총일)",1971.0,54,50
00225742,20240329000411,,LS마린솔루션,박주헌,남,1961년 05월,이사,"감사위원회
위원","2023. 3. 31. ~ 현재
(임기만료일: 2025년
정기 주총일)",1961.0,64,60
00225742,20240329000411,,LS마린솔루션,이갑주,남,1962년 11월,이사,"감사위원회
위원","2023. 8. 17. ~ 현재
(임기만료일: 2025년
정기 주총일)",1962.0,63,60
00225742,20240329000411,,LS마린솔루션,이상호,남,1968년 08월,이사,-,"2023. 1. 17. ~ 현재
(임기만료일: 2025년
정기 주총일)",1968.0,57,50
00225742,20240329000411,,LS마린솔루션,윤영균,남,1971년 11월,이사,-,"2022. 3. 24. ~ 현재
(임기만료일: 2024년
정기 주총일)",1971.0,54,50
00225742,20240329000411,,LS마린솔루션,송경진,남,1956년 11월,이사,"감사위원회
위원","2023. 8. 17. ~ 현재
(임기만료일: 2025년
정기 주총일)",1956.0,69,60
00225742,20240329000411,,LS마린솔루션,최인규,남,1969년 11월,상무보,"영업
부문장",2022. 1. 1. ~ 현재,1969.0,56,50
00225742,20240329000411,,LS마린솔루션,이근창,남,1966년 11월,상무보,"프로젝트
수행
부문장",2015. 4. 1. ~ 현재,1966.0,59,50
00390860,20240408003770,,대산F&B,진형일,남,1973년 10월,이사,대표이사,'22.12.26~,1973.0,52,50
00390860,20240408003770,,대산F&B,한상우,남,1981년 12월,이사,이사,'22.12.26~,1981.0,44,40
00390860,20240408003770,,대산F&B,김상욱,남,1979년 07월,이사,이사,'21.06.23~,1979.0,46,40
00390860,20240408003770,,대산F&B,윤재동,남,1960년 12월,이사,이사,'23.12.22~,1960.0,65,60
00390860,20240408003770,,대산F&B,김준석,남,1967년 08월,이사,이사,'23.03.31~,1967.0,58,50
00390860,20240408003770,,대산F&B,임규안,남,1982년 03월,감사,감사,'23.03.31~,1982.0,43,40
00390860,20240408003770,,대산F&B,유정현,남,1971년 02월,상무,인사총무팀장,'21.08.04~,1971.0,54,50
00390860,20240408003770,,대산F&B,김원일,남,1971년 06월,상무,경영지원실장,'22.03.14~,1971.0,54,50
00390860,20240408003770,,대산F&B,김호연,남,1968년 04월,부사장,포크사업부 재무총괄,'22.04.01~,1968.0,57,50
00535746,20240322000009,,컴투스홀딩스,송병준,남,1976년 01월,의장,"글로벌전략 책임자 (GSO)/
이사회 의장",23년 10개월,1976.0,49,40
00535746,20240322000009,,컴투스홀딩스,김태일,남,1977년 08월,상무보,법무,4년 10개월,1977.0,48,40
00535746,20240322000009,,컴투스홀딩스,최용락,남,1978년 03월,상무보,게임사업,2년 11개월,1978.0,47,40
00535746,20240322000009,,컴투스홀딩스,김동희,여,1978년 05월,상무보,IR,3개월,1978.0,47,40
00535746,20240322000009,,컴투스홀딩스,손경현,남,1978년 11월,이사,게임사업,1년 4개월,1978.0,47,40
00535746,20240322000009,,컴투스홀딩스,정철호,남,1973년 09월,대표이사,대표이사,5년 6개월,1973.0,52,50
00535746,20240322000009,,컴투스홀딩스,방경민,남,1977년 08월,사외이사,사외이사,3년 9개월,1977.0,48,40
00535746,20240322000009,,컴투스홀딩스,이관우,남,1984년 07월,사외이사,사외이사,1년 9개월,1984.0,41,40
00535746,20240322000009,,컴투스홀딩스,양승욱,남,1960년 07월,감사,감사,9개월,1960.0,65,60
00535746,20240322000009,,컴투스홀딩스,이용국,남,1967년 05월,사장,경영관리총괄대표 (CAO),18년 6개월,1967.0,58,50
00535746,20240322000009,,컴투스홀딩스,송재준,남,1979년 02월,사장,GCIO,21년 4개월,1979.0,46,40
00535746,20240322000009,,컴투스홀딩스,조성완,남,1971년 04월,전무,가치경영본부 총괄,9년 4개월,1971.0,54,50
00535746,20240322000009,,컴투스홀딩스,장종철,남,1975년 05월,상무보,BC사업,7년 4개월,1975.0,50,50
00651901,20240321001310,,에어부산,안병석,남,1963년 05월,대표이사,대표이사,"2021.03.31
~현재",1963.0,62,60
00651901,20240321001310,,에어부산,마호진,남,1969년 01월,상무이사,영업본부장,"2022.04.18
~현재",1969.0,56,50
00651901,20240321001310,,에어부산,민경제,남,1974년 04월,상무이사,경영본부장,"2023.03.31
~현재",1974.0,51,50
00651901,20240321001310,,에어부산,정인호,남,1964년 11월,사외이사,감사위원장,"2021.03.31
~현재",1964.0,61,60
00651901,20240321001310,,에어부산,정영무,남,1960년 01월,사외이사,감사위원,"2021.03.31
~현재",1960.0,65,60
00651901,20240321001310,,에어부산,신정택,남,1948년 06월,기타비상무이사,감사위원,"2011.03.17
~현재",1948.0,77,70
00651901,20240321001310,,에어부산,조영석,남,1967년 11월,기타비상무이사,이사,"2023.03.31
~현재",1967.0,58,50
00651901,20240321001310,,에어부산,"김재수
주1)",남,1966년 06월,상무이사,정비본부장,"2018.01.01
~현재",1966.0,59,50
00651901,20240321001310,,에어부산,"정창재
주2)",남,1963년 03월,상무이사,안전본부장,"2009.12.11
~현재",1963.0,62,60
00651901,20240321001310,,에어부산,이현우,남,1965년 07월,기타비상무이사,이사,"2023.03.31
~현재",1965.0,60,60
00138792,20240325000904,,아시아나항공,원유석,남,1964년 01월,부사장,아시아나항공 대표이사,1990.12.01~현재,1964.0,61,60
00138792,20240325000904,,아시아나항공,현일조,남,1964년 08월,전무,서비스본부장,1990.05.07~현재,1964.0,61,60
00138792,20240325000904,,아시아나항공,김광석,남,1963년 12월,전무,운항본부장,2001.04.01~현재,1963.0,62,60
00138792,20240325000904,,아시아나항공,오윤규,남,1966년 07월,상무,화물본부장,1990.12.01~현재,1966.0,59,50
00138792,20240325000904,,아시아나항공,임수성,남,1970년 08월,상무,전략기획본부장,1996.01.01~현재,1970.0,55,50
00138792,20240325000904,,아시아나항공,장경호,남,1968년 01월,상무,캐빈기획담당,1993.12.01~현재,1968.0,57,50
00138792,20240325000904,,아시아나항공,김태엽,남,1966년 12월,상무,대외협력담당,1990.12.01~현재,1966.0,59,50
00138792,20240325000904,,아시아나항공,전제진,남,1964년 01월,상무,운항정비담당,1991.04.01~현재,1964.0,61,60
00138792,20240325000904,,아시아나항공,임선진,남,1967년 08월,상무,서울여객지점장,1992.10.20~현재,1967.0,58,50
00138792,20240325000904,,아시아나항공,선완성,남,1967년 03월,상무,여객전략담당,1993.07.01~현재,1967.0,58,50
00138792,20240325000904,,아시아나항공,강주용,남,1968년 03월,상무,일본지역본부장,1992.12.01~현재,1968.0,57,50
00138792,20240325000904,,아시아나항공,배진철,남,1959년 01월,사외이사,사외이사,2021.03.31~현재,1959.0,66,60
00138792,20240325000904,,아시아나항공,이우상,남,1966년 06월,상무,인천국제공항서비스지점장,1992.12.01~현재,1966.0,59,50
00138792,20240325000904,,아시아나항공,홍지훈,남,1967년 08월,상무,서울화물지점장,1992.12.01~현재,1967.0,58,50
00138792,20240325000904,,아시아나항공,조용한,남,1969년 02월,상무,RM담당,1992.12.01~현재,1969.0,56,50
00138792,20240325000904,,아시아나항공,배영국,남,1969년 01월,상무,재무당당,"1995.01.01~2020.12.31
 2023.03.20~현재",1969.0,56,50
00138792,20240325000904,,아시아나항공,김진,남,1971년 04월,상무,법무담당,1997.01.01~현재,1971.0,54,50
00138792,20240325000904,,아시아나항공,윤찬의,남,1968년 02월,상무,정보보안담당,2022.04.18~현재,1968.0,57,50
00138792,20240325000904,,아시아나항공,박수상,남,1967년 01월,상무,커뮤니케이션담당,1992.10.20~현재,1967.0,58,50
00138792,20240325000904,,아시아나항공,유병국,남,1967년 10월,상무,중국지역본부장,1992.10.20~현재,1967.0,58,50
00138792,20240325000904,,아시아나항공,전미선,여,1971년 05월,상무,캐빈운영담당,1994.03.22~현재,1971.0,54,50
00138792,20240325000904,,아시아나항공,김길성,남,1966년 12월,상무,안전운항담당,1994.08.02~현재,1966.0,59,50
00138792,20240325000904,,아시아나항공,박해식,남,1963년 04월,사외이사,사외이사,2021.03.31~현재,1963.0,62,60
00138792,20240325000904,,아시아나항공,이중기,남,1969년 05월,상무,정비기획담당,1994.12.05~현재,1969.0,56,50
00138792,20240325000904,,아시아나항공,이승환,남,1967년 09월,상무,온라인마케팅담당,1995.01.01~현재,1967.0,58,50
00138792,20240325000904,,아시아나항공,태기팔,남,1968년 01월,상무,구매담당,1995.07.01~현재,1968.0,57,50
00138792,20240325000904,,아시아나항공,김영섭,남,1970년 01월,상무,미주지역본부장,1996.01.01~현재,1970.0,55,50
00138792,20240325000904,,아시아나항공,한상덕,남,1970년 08월,상무,감사실장,2000.07.14~현재,1970.0,55,50
00138792,20240325000904,,아시아나항공,이병수,남,1970년 09월,수석부장,공항기획담당,1993.12.01~현재,1970.0,55,50
00138792,20240325000904,,아시아나항공,배인석,남,1969년 02월,수석부장,종합통제담당,1992.08.25~현재,1969.0,56,50
00138792,20240325000904,,아시아나항공,전상현,남,1969년 09월,수석부장,HR담당,1995.01.01~현재,1969.0,56,50
00138792,20240325000904,,아시아나항공,조용순,남,1970년 06월,수석부장,안전보안담당,1996.01.01~현재,1970.0,55,50
00138792,20240325000904,,아시아나항공,서봉원,남,1970년 01월,수석부장,화물서비스담당,1995.01.01~현재,1970.0,55,50
00138792,20240325000904,,아시아나항공,윤창번,남,1954년 01월,사외이사,사외이사,2023.03.31~현재,1954.0,71,70
00138792,20240325000904,,아시아나항공,서성진,남,1975년 09월,수석부장,전략기획담당,2004.07.01~현재,1975.0,50,50
00138792,20240325000904,,아시아나항공,곽호진,남,1970년 08월,수석부장,정비품질담당,1996.01.01~현재,1970.0,55,50
00138792,20240325000904,,아시아나항공,문정석,남,1969년 04월,수석부장,화물영업담당,1995.07.01~현재,1969.0,56,50
00138792,20240325000904,,아시아나항공,유현우,남,1969년 06월,수석부장,운항기획훈련담당,2006.07.03~현재,1969.0,56,50
00138792,20240325000904,,아시아나항공,강혜련,여,1957년 07월,사외이사,사외이사,2023.03.31~현재,1957.0,68,60
00138792,20240325000904,,아시아나항공,두성국,남,1965년 11월,전무,여객본부장,1989.12.11~현재,1965.0,60,60
00138792,20240325000904,,아시아나항공,류재훈,남,1966년 02월,전무,정비본부장,1989.12.01~현재,1966.0,59,50
00138792,20240325000904,,아시아나항공,진광호,남,1966년 09월,전무,안전·보안실장,2005.04.01~현재,1966.0,59,50
00138792,20240325000904,,아시아나항공,조영석,남,1967년 11월,전무,경영관리본부장,1992.12.01~현재,1967.0,58,50
00141389,20240312001002,,영풍정밀,최창규,남,1950년 09월,"대표이사
회장","회사업무
총괄",37년 2월,1950.0,75,70
00141389,20240312001002,,영풍정밀,장경호,남,1965년 08월,상무이사,"울산퀵서비스센터
소장",-,1965.0,60,60
00141389,20240312001002,,영풍정밀,형우인,남,1969년 03월,상무이사,경영지원실장,-,1969.0,56,50
00141389,20240312001002,,영풍정밀,최태종,남,1968년 11월,상무이사,밸브영업 총괄(부),-,1968.0,57,50
00141389,20240312001002,,영풍정밀,이영호,남,1971년 07월,상무이사,밸브기술연구소장,-,1971.0,54,50
00141389,20240312001002,,영풍정밀,전상규,남,1968년 10월,상무이사,펌프기술연구소장,3년 11월,1968.0,57,50
00141389,20240312001002,,영풍정밀,이준우,남,1967년 01월,상무이사,펌프 영업팀장,-,1967.0,58,50
00141389,20240312001002,,영풍정밀,김경건,남,1965년 12월,상무이사,소재공장장,-,1965.0,60,60
00141389,20240312001002,,영풍정밀,이세영,남,1961년 03월,이사,소재공장 영업담당,3년 7월,1961.0,64,60
00141389,20240312001002,,영풍정밀,이희선,남,1963년 06월,이사,펌프영업팀장,-,1963.0,62,60
00141389,20240312001002,,영풍정밀,백승교,남,1968년 10월,이사,"중부퀵서비스센터
소장",-,1968.0,57,50
00141389,20240312001002,,영풍정밀,이한성,남,1965년 01월,"대표이사
사장","회사업무
총괄",35년 1월,1965.0,60,60
00141389,20240312001002,,영풍정밀,최재영,남,1970년 09월,이사,펌프영업팀장,-,1970.0,55,50
00141389,20240312001002,,영풍정밀,장세훈,남,1970년 04월,이사,펌프 A/S팀장,-,1970.0,55,50
00141389,20240312001002,,영풍정밀,박영재,남,1973년 03월,이사대우,펌프해외영업,-,1973.0,52,50
00141389,20240312001002,,영풍정밀,김성일,남,1972년 04월,이사대우,밸브해외영업,-,1972.0,53,50
00141389,20240312001002,,영풍정밀,박동섭,남,1968년 12월,이사대우,공장 지원업무 총괄,-,1968.0,57,50
00141389,20240312001002,,영풍정밀,오영천,남,1971년 03월,이사대우,PI전략실장,-,1971.0,54,50
00141389,20240312001002,,영풍정밀,윤장순,남,1975년 10월,이사대우,밸브공장장,-,1975.0,50,50
00141389,20240312001002,,영풍정밀,장형진,남,1946년 06월,"기타
비상무이사",-,40년 12월,1946.0,79,70
00141389,20240312001002,,영풍정밀,정순원,남,1952년 01월,사외이사,"감사위원회
위원(장)",3년 10월,1952.0,73,70
00141389,20240312001002,,영풍정밀,홍석주,남,1953년 09월,사외이사,"감사위원회
위원",3년 10월,1953.0,72,70
00141389,20240312001002,,영풍정밀,이한종,남,1964년 09월,사외이사,"감사위원회
위원",10월,1964.0,61,60
00141389,20240312001002,,영풍정밀,홍지상,남,1960년 09월,사장,밸브영업 총괄,-,1960.0,65,60
00141389,20240312001002,,영풍정밀,최상혁,남,1961년 07월,사장,펌프영업 총괄,-,1961.0,64,60
00141389,20240312001002,,영풍정밀,박찬희,남,1963년 10월,전무이사,"여수퀵서비스센터
소장",-,1963.0,62,60
00180865,20240729000292,,디에이치엑스컴퍼니,이상욱,남,1970년 01월,대표이사,경영총괄,33개월,1970.0,55,50
00180865,20240729000292,,디에이치엑스컴퍼니,백승택,남,1985년 01월,사내이사,경영관리,21개월,1985.0,40,40
00180865,20240729000292,,디에이치엑스컴퍼니,최종규,남,1970년 08월,사외이사,사외이사,21개월,1970.0,55,50
00180865,20240729000292,,디에이치엑스컴퍼니,강민구,남,1985년 07월,사외이사,사외이사,32개월,1985.0,40,40
00180865,20240729000292,,디에이치엑스컴퍼니,배용덕,남,1968년 11월,사내이사,경영관리,9개월,1968.0,57,50
00180865,20240729000292,,디에이치엑스컴퍼니,소순호,남,1973년 05월,사외이사,경영관리,9개월,1973.0,52,50
00180865,20240729000292,,디에이치엑스컴퍼니,정윤택,남,1952년 03월,감사,감사,33개월,1952.0,73,70
00402989,20250117000415,,코스온,이동건,남,1968년 01월,대표이사,"대표이사
(법률상 관리인)",133개월,1968.0,57,50
00402989,20250117000415,,코스온,송희석,남,1971년 03월,본부장,구조조정,23개월,1971.0,54,50
00402989,20250117000415,,코스온,엄원간,남,1956년 04월,CRO,기업회생,21개월,1956.0,69,60
00402989,20250117000415,,코스온,이병효,남,1968년 11월,대표이사,대표이사,1개월,1968.0,57,50
00402989,20250117000415,,코스온,김재용,남,1968년 05월,"기타
비상무이사",-,34개월,1968.0,57,50
00402989,20250117000415,,코스온,노중효,남,1973년 12월,감사,감사,26개월,1973.0,52,50
00402989,20250117000415,,코스온,김용삼,남,1967년 12월,본부장,공시,133개월,1967.0,58,50
00402989,20250117000415,,코스온,변재한,남,1968년 05월,본부장,재무회계,167개월,1968.0,57,50
00402989,20250117000415,,코스온,이종원,남,1978년 07월,"기타
비상무이사",-,34개월,1978.0,47,40
00402989,20250117000415,,코스온,유지원,남,1974년 04월,사외이사,-,26개월,1974.0,51,50
00402989,20250117000415,,코스온,김하경,여,1992년 01월,사외이사,-,61개월,1992.0,33,30
00548519,20240321001783,,큐러블,김승일,남,1975년 02월,이사,경영총괄,2,1975.0,50,50
00548519,20240321001783,,큐러블,양재원,남,1970년 04월,이사,이사회의장,2,1970.0,55,50
00548519,20240321001783,,큐러블,안민혁,남,1996년 11월,이사,-,2,1996.0,29,20
00548519,20240321001783,,큐러블,이상래,남,1972년 01월,이사,-,2,1972.0,53,50
00548519,20240321001783,,큐러블,손재민,남,1978년 08월,감사,-,2,1978.0,47,40
01267602,20240314001085,,제이시스메디칼,강동환,남,1972년 10월,대표이사,경영총괄,2021년 03월~,1972.0,53,50
01267602,20240314001085,,제이시스메디칼,이원주,남,1959년 08월,전무,R&D총괄,2021년 03월~,1959.0,66,60
01267602,20240314001085,,제이시스메디칼,강일권,남,1973년 04월,상무,SCM총괄,2021년 05월~,1973.0,52,50
01267602,20240314001085,,제이시스메디칼,권재민,남,1965년 05월,전무,국내 및 해외 영업/마케팅 총괄,2023년 10월~,1965.0,60,60
01267602,20240314001085,,제이시스메디칼,박종현,남,1975년 01월,상무,DX총괄,2022년 09월~,1975.0,50,50
01267602,20240314001085,,제이시스메디칼,이교성,남,1972년 01월,상무,"제품규제본부
본부장",2023년 3월~,1972.0,53,50
01267602,20240314001085,,제이시스메디칼,이성주,여,1972년 10월,상무,"신사업본부
총괄",2023년 10월~,1972.0,53,50
01267602,20240314001085,,제이시스메디칼,김선,여,1974년 08월,이사,"초음파치료
사업총괄",2021년 09월~,1974.0,51,50
01267602,20240314001085,,제이시스메디칼,안병석,남,1974년 05월,이사,품질총괄,2021년 03월~,1974.0,51,50
01267602,20240314001085,,제이시스메디칼,박재한,남,1975년 03월,이사,제품규제본부 실장,2022년 09월~,1975.0,50,50
01267602,20240314001085,,제이시스메디칼,선혜진,여,1984년 10월,이사,"제품전략실
실장",2021년 03월~,1984.0,41,40
