corp_code,접수번호,법인구분,법인명,성명,성별,출생년월,직위,담당업무,재직기간,출생연도,age,age_group
01601286,20240221001396,,미래에셋비전기업인수목적1호,김필수,남,1971년 07월,대표이사,경영총괄,9개월,1971.0,54,50
01601286,20240221001396,,미래에셋비전기업인수목적1호,조인직,남,1976년 02월,기타비상무이사,경영,9개월,1976.0,49,40
01601286,20240221001396,,미래에셋비전기업인수목적1호,이행규,남,1972년 10월,사외이사,경영,9개월,1972.0,53,50
01601286,20240221001396,,미래에셋비전기업인수목적1호,최준영,남,1983년 12월,감사,경영,9개월,1983.0,42,40
01091382,20240408003721,,세토피아,서상철,남,1976년 07월,대표이사,경영총괄,2020.08.10~,1976.0,49,40
01091382,20240408003721,,세토피아,김현옥,남,1977년 11월,이사,경영자문,2020.08.10~,1977.0,48,40
01091382,20240408003721,,세토피아,장성원,남,1981년 01월,이사,"경영전략실
이사",2020.12.23~,1981.0,44,40
01091382,20240408003721,,세토피아,이준의,남,1971년 07월,이사,경영자문,2020.12.23~,1971.0,54,50
01091382,20240408003721,,세토피아,김용인,남,1963년 10월,이사,경영자문,2021.03.29~,1963.0,62,60
01091382,20240408003721,,세토피아,박희제,남,1961년 05월,이사,경영자문,2021.03.29~,1961.0,64,60
01091382,20240408003721,,세토피아,안재성,남,1957년 01월,이사,경영자문,2021.03.29~,1957.0,68,60
01091382,20240408003721,,세토피아,윤성근,남,1967년 10월,이사,경영자문,2023.01.27,1967.0,58,50
01091382,20240408003721,,세토피아,이상무,남,1973년 02월,감사,감사,2021.03.29~,1973.0,52,50
00585219,20240321002019,,세원이앤씨,김동화,남,1969년 03월,대표이사,대표이사,2023.03.~,1969.0,56,50
00585219,20240321002019,,세원이앤씨,감규순,남,1967년 05월,감사,감사,2023.03.~,1967.0,58,50
00585219,20240321002019,,세원이앤씨,이영빈,여,1980년 03월,부사장,부사장,2023.12~,1980.0,45,40
00585219,20240321002019,,세원이앤씨,조수현,남,1970년 02월,상무보,경영관리본부장,2024.01~,1970.0,55,50
00585219,20240321002019,,세원이앤씨,손승현,남,1973년 08월,상무보,"경영관리
본부장",1996.03~,1973.0,52,50
00585219,20240321002019,,세원이앤씨,하만봉,남,1972년 08월,상무,"화공사업
본부장",2018.03~,1972.0,53,50
00585219,20240321002019,,세원이앤씨,김종선,남,1970년 03월,상무,"화공영업
총괄",1997.01~,1970.0,55,50
00585219,20240321002019,,세원이앤씨,최흥열,남,1971년 03월,상무,"GS사업
본부장",1999.02~,1971.0,54,50
00585219,20240321002019,,세원이앤씨,한성민,남,1970년 11월,상무보,PL본부장,1997.01~,1970.0,55,50
00585219,20240321002019,,세원이앤씨,송의준,남,1994년 04월,사내이사,경영관리,2023.03.~,1994.0,31,30
00585219,20240321002019,,세원이앤씨,이종인,남,1970년 02월,대표이사,대표이사,2000.04.~,1970.0,55,50
00585219,20240321002019,,세원이앤씨,오선종,남,1982년 04월,사내이사,경영관리,2022.03~,1982.0,43,40
00585219,20240321002019,,세원이앤씨,최정환,남,1979년 02월,사내이사,경영관리,2023.03.~,1979.0,46,40
00585219,20240321002019,,세원이앤씨,이성열,남,1981년 05월,사내이사,경영관리,2023.03.~,1981.0,44,40
00585219,20240321002019,,세원이앤씨,정임식,남,1967년 03월,사외이사,사외이사,2023.03.~,1967.0,58,50
00585219,20240321002019,,세원이앤씨,오성용,남,1968년 10월,사외이사,사외이사,2023.03.~,1968.0,57,50
00585219,20240321002019,,세원이앤씨,표창용,남,1970년 02월,사외이사,사외이사,2023.03.~,1970.0,55,50
01274310,20240319000863,,이오플로우,김재진,남,1961년 10월,"대표
이사","경영
총괄",12년,1961.0,64,60
01274310,20240319000863,,이오플로우,김창정,남,1967년 06월,COO,"연구
및
운영
총괄","2년
11개월",1967.0,58,50
01274310,20240319000863,,이오플로우,전준성,남,1961년 12월,고문,"경영
자문",1년1개월,1961.0,64,60
01274310,20240319000863,,이오플로우,안현덕,남,1969년 08월,CFO,재무인사총괄,"1년
9개월",1969.0,56,50
01274310,20240319000863,,이오플로우,김재상,남,1968년 12월,"사외
이사","사외
이사","5년
11개월",1968.0,57,50
01274310,20240319000863,,이오플로우,허수진,여,1973년 11월,"사외
이사","사외
이사","1년
1개월",1973.0,52,50
01274310,20240319000863,,이오플로우,강민웅,남,1977년 03월,"사외
이사","사외
이사",9개월,1977.0,48,40
01274310,20240319000863,,이오플로우,한상진,남,1972년 11월,"연구
소장","제품개발
연구",7년,1972.0,53,50
00161408,20240314000449,,케이비캐피탈,황수남,남,1964년 02월,대표이사,경영총괄," 2009.12.29
 ~ 2023.12.31 ",1964.0,61,60
00161408,20240314000449,,케이비캐피탈,이지애,여,1965년 10월,부사장,IT," 2022.01.01
 ~ 2023.12.31",1965.0,60,60
00161408,20240314000449,,케이비캐피탈,이우환,남,1965년 03월,전무,위험관리책임자," 2023.01.01
~ 현재 ",1965.0,60,60
00161408,20240314000449,,케이비캐피탈,김회섭,남,1965년 11월,전무,준법감시인," 2023.01.01
~ 현재 ",1965.0,60,60
00161408,20240314000449,,케이비캐피탈,이갑섭,남,1966년 05월,상무,기업금융," 2021.10.20
 ~ 현재 ",1966.0,59,50
00161408,20240314000449,,케이비캐피탈,김정현,남,1971년 10월,상무,개인금융," 2022.01.01
~ 현재 ",1971.0,54,50
00161408,20240314000449,,케이비캐피탈,조태익,남,1972년 02월,상무,디지털사업," 2022.01.01
~ 2023.12.31 ",1972.0,53,50
00161408,20240314000449,,케이비캐피탈,이정일,남,1975년 01월,상무,경영관리," 2023.01.01
~ 현재 ",1975.0,50,50
00161408,20240314000449,,케이비캐피탈,김인환,남,1969년 12월,상무,자동차금융," 2023.01.01
~ 현재 ",1969.0,56,50
00161408,20240314000449,,케이비캐피탈,송호영,남,1969년 07월,상무,소비자보호," 2023.01.01
~ 2023.12.31",1969.0,56,50
00161408,20240314000449,,케이비캐피탈,이역희,남,1964년 12월,실장,채권관리," 2022.02.03
~ 2023.12.31",1964.0,61,60
00161408,20240314000449,,케이비캐피탈,황건일,남,1961년 02월,사내이사,감사위원," 2022.03.24
 ~ 현재 ",1961.0,64,60
00161408,20240314000449,,케이비캐피탈,설영오,남,1959년 12월,사외이사,사외이사," 2022.03.24
 ~ 현재 ",1959.0,66,60
00161408,20240314000449,,케이비캐피탈,남중수,남,1955년 06월,사외이사,사외이사," 2023.03.22
~현재 ",1955.0,70,70
00161408,20240314000449,,케이비캐피탈,최규연,남,1956년 01월,사외이사,사외이사," 2023.03.22
~현재 ",1956.0,69,60
00161408,20240314000449,,케이비캐피탈,정병하,남,1960년 12월,사외이사,사외이사," 2023.03.22
~현재 ",1960.0,65,60
00161408,20240314000449,,케이비캐피탈,나상록,남,1972년 08월,"기타
비상무이사","기타
비상무이사"," 2020.08.25
 ~ 현재 ",1972.0,53,50
00161408,20240314000449,,케이비캐피탈,최재원,남,1965년 03월,부사장,여신운영," 2017.01.01
 ~ 2023.12.31 ",1965.0,60,60
00161408,20240314000449,,케이비캐피탈,김찬수,남,1966년 02월,부사장,투자금융," 2022.01.01
 ~ 2023.12.31",1966.0,59,50
00876166,20240315000853,,KBG,부태웅,남,1958년 03월,회장,"업무
전반","22년
10개월",1958.0,67,60
00876166,20240315000853,,KBG,부삼열,남,1986년 07월,"대표
이사","업무
총괄","3년
10개월",1986.0,39,30
00876166,20240315000853,,KBG,최재혁,남,1970년 06월,이사,"재무
자금
전반","3년
7개월",1970.0,55,50
00876166,20240315000853,,KBG,이용훈,남,1958년 06월,"사외
이사","사외
이사","5년
4개월",1958.0,67,60
00876166,20240315000853,,KBG,도상호,남,1959년 01월,감사,감사,"5년
4개월",1959.0,66,60
