재무제표종류,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,항목명,당기,전기,전전기
"재무상태표, 증권 - 연결",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,dart_CashAndDuefromBanks,         현금및예치금,"478,081,181,793","343,895,633,089","241,899,012,311"
"재무상태표, 증권 - 연결",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,entity00251400_LoansAndReceivablesOfAssetsAbstract,         대출채권및수취채권,"802,820,682,380","944,553,704,198","761,175,549,266"
"재무상태표, 증권 - 연결",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_Assets,         자산총계,"5,807,547,235,923","3,914,294,508,604","3,995,983,484,275"
"재무상태표, 증권 - 연결",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_CurrentTaxAssets,         당기법인세자산,"20,736,673,276","3,945,202,564","2,397,442,400"
"재무상태표, 증권 - 연결",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_DeferredTaxAssets,         이연법인세자산,0,"11,547,481,960","4,525,931,956"
"재무상태표, 증권 - 연결",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_DerivativeFinancialAssets,         파생상품자산,"77,412,987,197","88,528,715,705","552,454,722"
"재무상태표, 증권 - 연결",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_FinancialAssetsAtFairValueThroughOtherComprehensiveIncome,         기타포괄손익-공정가치금융자산,"401,609,395,005","22,570,159,494","23,266,606,226"
"재무상태표, 증권 - 연결",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_FinancialAssetsAtFairValueThroughProfitOrLoss,         당기손익-공정가치금융자산,"3,948,899,670,074","2,427,929,183,961","2,858,267,588,000"
"재무상태표, 증권 - 연결",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_IntangibleAssetsAndGoodwill,         무형자산,"6,030,601,457","5,319,021,289","4,547,206,284"
"재무상태표, 증권 - 연결",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_InvestmentsInSubsidiariesJointVenturesAndAssociates,         종속기업및관계기업투자,"43,263,421,440","36,280,698,755","82,066,855,059"
"재무상태표, 증권 - 연결",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_OtherNonfinancialAssets,         기타자산,"11,812,056,751","9,223,767,940","9,073,032,907"
"재무상태표, 증권 - 연결",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_PropertyPlantAndEquipment,         유형자산,"16,726,359,426","19,924,058,714","7,020,066,743"
"재무상태표, 증권 - 연결",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_RecognisedAssetsDefinedBenefitPlan,         순확정급여자산,"154,207,124","576,880,935","1,191,738,401"
"재무상태표, 증권 - 연결",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_Equity,            자본총계,"1,186,894,327,999","1,064,342,260,945","1,015,489,257,544"
"재무상태표, 증권 - 연결",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_EquityAttributableToOwnersOfParent,            지배기업소유주지분,"1,186,894,327,999","1,064,342,260,945","1,015,489,257,544"
"재무상태표, 증권 - 연결",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,dart_ElementsOfOtherStockholdersEquity,               기타자본구성요소,"23,701,552,420","11,712,031,030","10,178,859,836"
"재무상태표, 증권 - 연결",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,dart_HybridBonds,               신종자본증권,"99,956,480,000",0,0
