재무제표종류,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,항목명,당기,전기,전전기
"재무상태표, 증권 - 별도",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,dart_CashAndDuefromBanks,         현금및예치금,"468,821,740,924","327,822,334,806","235,444,911,654"
"재무상태표, 증권 - 별도",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,entity00251400_udf_BS_202382994450632OfAssetsAbstract,         대출채권및수취채권,"496,993,970,897","432,504,206,294","477,440,967,174"
"재무상태표, 증권 - 별도",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_Assets,         자산총계,"5,467,783,890,754","3,461,667,120,734","3,678,400,323,040"
"재무상태표, 증권 - 별도",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_CurrentTaxAssets,         당기법인세자산,"18,709,688,982","733,971,710",0
"재무상태표, 증권 - 별도",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_DeferredTaxAssets,         이연법인세자산,0,"11,547,481,960","4,525,931,956"
"재무상태표, 증권 - 별도",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_DerivativeFinancialAssets,         파생상품자산,"77,412,987,197","88,528,715,705","552,454,722"
"재무상태표, 증권 - 별도",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_FinancialAssetsAtFairValueThroughOtherComprehensiveIncome,         기타포괄손익-공정가치금융자산,"401,609,395,005","22,570,159,494","18,266,606,226"
"재무상태표, 증권 - 별도",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_FinancialAssetsAtFairValueThroughProfitOrLoss,         당기손익-공정가치금융자산,"3,924,065,845,000","2,506,061,655,512","2,834,112,200,935"
"재무상태표, 증권 - 별도",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_IntangibleAssetsAndGoodwill,         무형자산,"6,030,601,457","5,319,021,289","4,547,206,284"
"재무상태표, 증권 - 별도",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_InvestmentsInSubsidiariesJointVenturesAndAssociates,         종속기업및관계기업투자,"46,223,270,007","39,781,066,777","86,567,089,748"
"재무상태표, 증권 - 별도",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_OtherNonfinancialAssets,         기타자산,"11,035,824,735","6,297,567,538","8,731,149,197"
"재무상태표, 증권 - 별도",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_PropertyPlantAndEquipment,         유형자산,"16,726,359,426","19,924,058,714","7,020,066,743"
"재무상태표, 증권 - 별도",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_RecognisedAssetsDefinedBenefitPlan,         순확정급여자산,"154,207,124","576,880,935","1,191,738,401"
"재무상태표, 증권 - 별도",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,dart_ElementsOfOtherStockholdersEquity,            기타자본구성요소,"23,701,552,420","11,712,031,030","10,178,859,836"
"재무상태표, 증권 - 별도",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,dart_HybridBonds,            신종자본증권,"99,956,480,000",0,0
"재무상태표, 증권 - 별도",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_AdditionalPaidinCapital,            기타불입자본,"581,479,942,760","581,479,942,760","581,479,942,760"
"재무상태표, 증권 - 별도",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_Equity,            자본총계,"1,194,339,750,959","1,066,456,863,809","1,015,114,290,259"
"재무상태표, 증권 - 별도",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_IssuedCapital,            자본금,"183,000,000,000","183,000,000,000","183,000,000,000"
"재무상태표, 증권 - 별도",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_RetainedEarnings,            이익잉여금,"306,201,775,779","290,264,890,019","240,455,487,663"
"재무상태표, 증권 - 별도",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_EquityAndLiabilities,         자본과부채총계,"5,467,783,890,754","3,461,667,120,734","3,678,400,323,040"
"재무상태표, 증권 - 별도",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_Borrowings,            차입부채,"2,207,385,183,274","1,150,524,098,837","1,967,992,977,015"
"재무상태표, 증권 - 별도",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_CurrentTaxLiabilities,            당기법인세부채,"136,014,249",0,"31,786,530,979"
"재무상태표, 증권 - 별도",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_DepositsFromCustomers,            예수부채,"730,385,908,376","152,268,429,522","137,637,987,179"
"재무상태표, 증권 - 별도",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_DerivativeFinancialLiabilities,            파생상품부채,"41,224,698,163","54,780,220,285","304,980,970"
"재무상태표, 증권 - 별도",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_FinancialLiabilitiesAtFairValueThroughProfitOrLoss,            당기손익-공정가치금융부채,"1,108,861,986,299","850,662,211,665","341,286,260,995"
"재무상태표, 증권 - 별도",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_Liabilities,            부채총계,"4,273,444,139,795","2,395,210,256,925","2,663,286,032,781"
"재무상태표, 증권 - 별도",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_OtherNonfinancialLiabilities,            기타부채,"150,335,676,651","165,409,655,325","172,169,863,355"
"재무상태표, 증권 - 별도",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_Provisions,            충당부채,"35,114,672,783","21,565,641,291","12,107,432,288"
"재무상태표, 증권 - 별도",[null],BNK투자증권,기타법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_RecognisedLiabilitiesDefinedBenefitPlan,            순확정급여부채,0,0,0
"재무상태표, 증권 - 별도",[016610],DB금융투자,유가증권시장상장법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_Assets,         자산총계,"7,421,242,973,843","7,096,049,373,284","7,260,100,608,954"
"재무상태표, 증권 - 별도",[016610],DB금융투자,유가증권시장상장법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_CashAndCashEquivalents,         현금및현금성자산,"578,856,112,075","575,654,420,485","480,242,445,713"
"재무상태표, 증권 - 별도",[016610],DB금융투자,유가증권시장상장법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_CurrentTaxAssets,         당기법인세자산,"17,071,812,690","13,839,503,653",0
"재무상태표, 증권 - 별도",[016610],DB금융투자,유가증권시장상장법인,661,금융 지원 서비스업,12,2023-12-31,사업보고서,KRW,ifrs-full_FinancialAssetsAtAmortisedCost,         상각후원가측정금융자산,"1,400,621,675,507","1,579,765,001,293","1,933,594,356,963"
