재무제표종류,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,항목명,당기,전기,전전기
"재무상태표, 은행 - 별도",[138930],BNK금융지주,유가증권시장상장법인,649,기타 금융업,12,2023-12-31,사업보고서,KRW,dart_CashAndDuefromBanks,         현금및예치금,"155,238,417,983","67,988,718,816","51,799,136,753"
"재무상태표, 은행 - 별도",[138930],BNK금융지주,유가증권시장상장법인,649,기타 금융업,12,2023-12-31,사업보고서,KRW,dart_SecuritiesAtFairValueThroughProfitOrLoss,         당기손익-공정가치금융자산,"103,647,600,000",0,0
"재무상태표, 은행 - 별도",[138930],BNK금융지주,유가증권시장상장법인,649,기타 금융업,12,2023-12-31,사업보고서,KRW,entity00858364_LoansAndReceivablesOfAssetsAbstract,         대출채권 및 수취채권,"59,248,455,663","199,167,331,546","174,546,298,273"
"재무상태표, 은행 - 별도",[138930],BNK금융지주,유가증권시장상장법인,649,기타 금융업,12,2023-12-31,사업보고서,KRW,ifrs-full_Assets,         자산총계,"6,968,997,944,637","6,915,786,817,905","6,825,305,647,860"
"재무상태표, 은행 - 별도",[138930],BNK금융지주,유가증권시장상장법인,649,기타 금융업,12,2023-12-31,사업보고서,KRW,ifrs-full_IntangibleAssetsAndGoodwill,         무형자산,"14,095,601,815","14,666,993,733","15,818,071,708"
"재무상태표, 은행 - 별도",[138930],BNK금융지주,유가증권시장상장법인,649,기타 금융업,12,2023-12-31,사업보고서,KRW,ifrs-full_InvestmentsInSubsidiariesJointVenturesAndAssociates,         관계기업및공동기업투자,"6,623,937,230,740","6,623,937,230,740","6,573,937,230,740"
"재무상태표, 은행 - 별도",[138930],BNK금융지주,유가증권시장상장법인,649,기타 금융업,12,2023-12-31,사업보고서,KRW,ifrs-full_OtherNonfinancialAssets,         기타자산,"922,449,944","2,113,078,968","2,181,276,394"
"재무상태표, 은행 - 별도",[138930],BNK금융지주,유가증권시장상장법인,649,기타 금융업,12,2023-12-31,사업보고서,KRW,ifrs-full_PropertyPlantAndEquipment,         유형자산,"11,908,188,492","7,913,464,102","7,023,633,992"
"재무상태표, 은행 - 별도",[138930],BNK금융지주,유가증권시장상장법인,649,기타 금융업,12,2023-12-31,사업보고서,KRW,dart_ElementsOfOtherStockholdersEquity,            기타자본구성요소,"-4,485,067,404","-3,933,474,597","-6,376,677,071"
"재무상태표, 은행 - 별도",[138930],BNK금융지주,유가증권시장상장법인,649,기타 금융업,12,2023-12-31,사업보고서,KRW,dart_HybridBonds,            신종자본증권,"727,635,718,500","827,392,476,500","827,392,476,500"
"재무상태표, 은행 - 별도",[138930],BNK금융지주,유가증권시장상장법인,649,기타 금융업,12,2023-12-31,사업보고서,KRW,ifrs-full_AdditionalPaidinCapital,            기타불입자본,"2,276,280,170,430","2,270,038,313,795","2,270,038,313,795"
"재무상태표, 은행 - 별도",[138930],BNK금융지주,유가증권시장상장법인,649,기타 금융업,12,2023-12-31,사업보고서,KRW,ifrs-full_Equity,            자본총계,"5,283,937,093,683","5,347,543,937,675","5,251,713,667,367"
"재무상태표, 은행 - 별도",[138930],BNK금융지주,유가증권시장상장법인,649,기타 금융업,12,2023-12-31,사업보고서,KRW,ifrs-full_IssuedCapital,            자본금,"1,629,676,230,000","1,629,676,230,000","1,629,676,230,000"
"재무상태표, 은행 - 별도",[138930],BNK금융지주,유가증권시장상장법인,649,기타 금융업,12,2023-12-31,사업보고서,KRW,ifrs-full_RetainedEarnings,            이익잉여금,"654,830,042,157","624,370,391,977","530,983,324,143"
"재무상태표, 은행 - 별도",[138930],BNK금융지주,유가증권시장상장법인,649,기타 금융업,12,2023-12-31,사업보고서,KRW,ifrs-full_EquityAndLiabilities,         자본과부채총계,"6,968,997,944,637","6,915,786,817,905","6,825,305,647,860"
"재무상태표, 은행 - 별도",[138930],BNK금융지주,유가증권시장상장법인,649,기타 금융업,12,2023-12-31,사업보고서,KRW,ifrs-full_BondsIssued,            사채,"1,618,376,304,316","1,368,661,050,620","1,398,528,376,903"
"재무상태표, 은행 - 별도",[138930],BNK금융지주,유가증권시장상장법인,649,기타 금융업,12,2023-12-31,사업보고서,KRW,ifrs-full_CurrentTaxLiabilities,            당기법인세부채,"37,920,784,422","177,993,164,424","153,475,623,084"
"재무상태표, 은행 - 별도",[138930],BNK금융지주,유가증권시장상장법인,649,기타 금융업,12,2023-12-31,사업보고서,KRW,ifrs-full_Liabilities,            부채총계,"1,685,060,850,954","1,568,242,880,230","1,573,591,980,493"
"재무상태표, 은행 - 별도",[138930],BNK금융지주,유가증권시장상장법인,649,기타 금융업,12,2023-12-31,사업보고서,KRW,ifrs-full_OtherNonfinancialLiabilities,            기타부채,"26,509,871,827","20,976,838,978","19,907,694,356"
"재무상태표, 은행 - 별도",[138930],BNK금융지주,유가증권시장상장법인,649,기타 금융업,12,2023-12-31,사업보고서,KRW,ifrs-full_Provisions,            충당부채,"164,237,786","190,414,532","80,362,119"
"재무상태표, 은행 - 별도",[138930],BNK금융지주,유가증권시장상장법인,649,기타 금융업,12,2023-12-31,사업보고서,KRW,ifrs-full_RecognisedLiabilitiesDefinedBenefitPlan,            순확정급여부채,"2,089,652,603","421,411,676","1,599,924,031"
"재무상태표, 은행 - 별도",[192520],경남은행,기타법인,641,은행 및 저축기관,12,2023-12-31,사업보고서,KRW,dart_CashAndDuefromBanks,         현금및예치금,"1,640,577,725,067","2,157,937,151,533","1,944,545,438,552"
"재무상태표, 은행 - 별도",[192520],경남은행,기타법인,641,은행 및 저축기관,12,2023-12-31,사업보고서,KRW,entity01030132_LoansAndReceivablesOfAssetsAbstract,         대출채권 및 수취채권,"40,524,925,415,836","38,890,374,162,203","36,952,502,638,055"
"재무상태표, 은행 - 별도",[192520],경남은행,기타법인,641,은행 및 저축기관,12,2023-12-31,사업보고서,KRW,ifrs-full_Assets,         자산총계,"50,808,419,608,923","48,688,833,025,536","46,283,026,816,602"
"재무상태표, 은행 - 별도",[192520],경남은행,기타법인,641,은행 및 저축기관,12,2023-12-31,사업보고서,KRW,ifrs-full_DeferredTaxAssets,         이연법인세자산,0,"26,125,293,082","15,164,714,295"
"재무상태표, 은행 - 별도",[192520],경남은행,기타법인,641,은행 및 저축기관,12,2023-12-31,사업보고서,KRW,ifrs-full_DerivativeFinancialAssets,         파생상품자산,"19,369,531,169","26,210,053,382","16,831,144,881"
"재무상태표, 은행 - 별도",[192520],경남은행,기타법인,641,은행 및 저축기관,12,2023-12-31,사업보고서,KRW,ifrs-full_FinancialAssetsAtAmortisedCost,         상각후원가금융자산,"3,767,591,962,571","3,643,927,930,599","3,680,561,790,694"
"재무상태표, 은행 - 별도",[192520],경남은행,기타법인,641,은행 및 저축기관,12,2023-12-31,사업보고서,KRW,ifrs-full_FinancialAssetsAtFairValueThroughOtherComprehensiveIncome,         기타포괄손익-공정가치금융자산,"2,997,435,932,803","2,279,072,048,242","2,091,405,891,543"
"재무상태표, 은행 - 별도",[192520],경남은행,기타법인,641,은행 및 저축기관,12,2023-12-31,사업보고서,KRW,ifrs-full_FinancialAssetsAtFairValueThroughProfitOrLoss,         당기손익-공정가치금융자산,"1,395,750,044,303","1,190,353,061,892","1,191,449,493,086"
"재무상태표, 은행 - 별도",[192520],경남은행,기타법인,641,은행 및 저축기관,12,2023-12-31,사업보고서,KRW,ifrs-full_IntangibleAssetsAndGoodwill,         무형자산,"66,627,080,007","57,108,963,743","51,062,477,602"
